ANN,Total,Error/TO,Incl,%,%,%,Congruent,Incongruent,SCE,Num Dist,Num Dist,Phys Dist,Phys Dist,Congruent,Incongruent,Congruent,Incongruent,SCE,SCE,Congruent,Incongruent,Congruent,Incongruent,SCE,SCE,Congruent,Congruent,Congruent,Congruent,Incongruent,Incongruent,Incongruent,Incongruent,Congruent,Congruent,Congruent,Congruent,Incongruent,Incongruent,Incongruent,Incongruent,,,Response,Response,Response,Num,Num,Num,Num,Num,Num,Num,Num
,# Trials,# Trials,# Trials,Hits,Hits,Hits,,,I-C,Far,Close,Far,Close,Num Dist,Num Dist,Num Dist,Num Dist,Num Dist,Num Dist,PhysDist,PhysDist,Phys Dist,PhysDist,PhysDist,Phys Dist,Num Far,Num Far,Num Close,Num Close,Num Far,Num Far,Num Close,Num Close,Num Far,Num Far,Num Close,Num Close,Num Far,Num Far,Num Close,Num Close,,,Conflict,Conflict,Conflict,Dist,Dist,Dist,Dist,Dist,Dist,Dist,Dist
,,,,C,I,C-I,,,,,,,,Far,Far,Close,Close,Far,Close,Far,Far,Close,Close,Far,Close,Phys Far,Phys Close,Phys Far,Phys Close,Phys Far,Phys Close,Phys Far,Phys Close,Phys Far,Phys Close,Phys Far,Phys Close,Phys Far,Phys Close,Phys Far,Phys Close,,,Cong,Incong,I-C,1,2,3,4,5,6,7,8
,,,,,,,Mean,Mean,Mean,Mean,Mean,Mean,Mean,Mean,Mean,Mean,Mean,|I-C|,|I-C|,Mean,Mean,Mean,Mean,|I-C|,|I-C|,#Trials,#Trials,#Trials,#Trials,#Trials,#Trials,#Trials,#Trials,Mean,Mean,Mean,Mean,Mean,Mean,Mean,Mean,,,Mean,Mean,Mean,Mean,Mean,Mean,Mean,Mean,Mean,Mean,Mean
8,144,9,135,100,87.5,12.5,7.638889,11.52381,3.884921,8.444444,10.603175,9.393939,9.507246,7,9.888889,8.277778,13.703704,2.888889,5.425926,7.194444,12.033333,8.083333,11.060606,4.838889,2.977273,18,18,18,18,18,18,12,15,6.666667,7.333333,7.722222,8.833333,10.666667,9.111111,14.083333,13.4,,,0.176254,0.380337,0.204083,11.615385,NaN,NaN,NaN,NaN,8.958333,8.583333,8.166667
9,144,5,139,100,93.055556,6.944444,7.680556,11.761194,4.080638,8.375,11.014925,9.826087,9.471429,7.027778,9.722222,8.333333,14.129032,2.694444,5.795699,7.277778,12.606061,8.083333,10.941176,5.328283,2.857843,18,18,18,18,18,18,15,16,6.722222,7.333333,7.833333,8.833333,10.444444,9,15.2,13.125,,,0.174427,0.381544,0.207117,12.116279,NaN,NaN,NaN,NaN,9.041667,8.520833,8.083333
10,144,8,136,100,88.888889,11.111111,7.555556,11.421875,3.866319,8.333333,10.546875,9.318182,9.428571,6.944444,9.722222,8.166667,13.607143,2.777778,5.440476,7.138889,11.933333,7.972222,10.970588,4.794444,2.998366,18,18,18,18,18,18,12,16,6.666667,7.222222,7.611111,8.722222,10.444444,9,14.166667,13.1875,,,0.173342,0.374706,0.201364,11.5,NaN,NaN,NaN,NaN,8.958333,8.458333,8.083333
11,144,9,135,100,87.5,12.5,7.763889,11.412698,3.64881,8.458333,10.619048,9.484848,9.449275,7.111111,9.805556,8.416667,13.555556,2.694444,5.138889,7.388889,12,8.138889,10.878788,4.611111,2.739899,18,18,18,18,18,18,12,15,6.888889,7.333333,7.888889,8.944444,10.555556,9.055556,14.166667,13.066667,,,0.179035,0.374457,0.195422,11.615385,NaN,NaN,NaN,NaN,9,8.604167,8.166667
12,144,8,136,100,88.888889,11.111111,7.75,11.515625,3.765625,8.416667,10.765625,9.409091,9.628571,7.055556,9.777778,8.444444,13.75,2.722222,5.305556,7.277778,11.966667,8.222222,11.117647,4.688889,2.895425,18,18,18,18,18,18,12,16,6.722222,7.388889,7.833333,9.055556,10.5,9.055556,14.166667,13.4375,,,0.17718,0.373432,0.196252,11.875,NaN,NaN,NaN,NaN,8.916667,8.5625,8.125
13,144,8,136,100,88.888889,11.111111,7.736111,11.734375,3.998264,8.402778,10.984375,9.469697,9.757143,7.027778,9.777778,8.444444,14.25,2.75,5.805556,7.333333,12.033333,8.138889,11.470588,4.7,3.331699,18,18,18,18,18,18,12,16,6.722222,7.333333,7.944444,8.944444,10.444444,9.111111,14.416667,14.125,,,0.178099,0.376895,0.198796,12.25,NaN,NaN,NaN,NaN,8.875,8.5,8.208333
14,144,9,135,100,87.5,12.5,7.736111,11.444444,3.708333,8.402778,10.68254,9.393939,9.536232,7.055556,9.75,8.416667,13.703704,2.694444,5.287037,7.25,11.966667,8.222222,10.969697,4.716667,2.747475,18,18,18,18,18,18,12,15,6.666667,7.444444,7.833333,9,10.444444,9.055556,14.25,13.266667,,,0.176101,0.373965,0.197864,11.74359,NaN,NaN,NaN,NaN,8.958333,8.541667,8.125
15,144,8,136,100,88.888889,11.111111,7.583333,11.6875,4.104167,8.375,10.796875,9.333333,9.685714,6.916667,9.833333,8.25,14.071429,2.916667,5.821429,7.194444,11.9,7.972222,11.5,4.705556,3.527778,18,18,18,18,18,18,12,16,6.666667,7.166667,7.722222,8.777778,10.555556,9.111111,13.916667,14.1875,,,0.174665,0.38024,0.205574,11.925,NaN,NaN,NaN,NaN,8.916667,8.520833,8.083333
16,144,5,139,100,93.055556,6.944444,7.666667,11.940299,4.273632,8.444444,11.104478,9.927536,9.528571,7.055556,9.833333,8.277778,14.387097,2.777778,6.109319,7.333333,12.757576,8,11.147059,5.424242,3.147059,18,18,18,18,18,18,15,16,6.833333,7.277778,7.833333,8.722222,10.555556,9.111111,15.4,13.4375,,,0.175727,0.384756,0.209029,12.232558,NaN,NaN,NaN,NaN,9.083333,8.583333,8.166667
17,144,5,139,100,93.055556,6.944444,7.694444,11.58209,3.887645,8.305556,10.925373,9.710145,9.428571,6.972222,9.638889,8.416667,13.83871,2.666667,5.422043,7.194444,12.454545,8.194444,10.735294,5.260101,2.54085,18,18,18,18,18,18,15,16,6.555556,7.388889,7.833333,9,10.333333,8.944444,15,12.75,,,0.174693,0.372807,0.198115,12.069767,NaN,NaN,NaN,NaN,8.875,8.416667,8.083333
