ANN,trial,N1,N2,P1,P2,Succ.,Cong,Ndist,Ndist,Pdist,Pdist,rt,a1,a2,x_acc
27,16,1,8,8,2,1,I,7,L,6,S,10,0.49105,0.76451,0.375413
28,1,1,2,2,8,1,C,1,S,6,S,8,0.222792,0.836612,0.18639
28,2,9,2,2,8,1,I,7,L,6,S,11,0.774529,0.519833,0.402626
28,3,8,9,8,2,0,I,1,S,6,S,12,0.757412,0.487211,0.36902
28,4,9,8,8,2,1,C,1,S,6,S,9,0.822396,0.284085,0.23363
28,5,1,8,8,2,1,I,7,L,6,S,10,0.479375,0.776664,0.372313
28,6,2,9,2,8,1,C,7,L,6,S,7,0.173362,0.840983,0.145794
28,7,8,1,2,8,1,I,7,L,6,S,10,0.774563,0.481393,0.372869
28,8,8,1,8,2,1,C,7,L,6,S,7,0.866426,0.157693,0.136629
28,9,9,2,8,2,1,C,7,L,6,S,7,0.82846,0.183613,0.152116
28,10,1,8,2,8,1,C,7,L,6,S,7,0.156462,0.868281,0.135853
28,11,2,1,8,2,1,C,1,S,6,S,8,0.83928,0.220869,0.185371
28,12,8,9,2,8,1,C,1,S,6,S,9,0.274624,0.830182,0.227988
28,13,2,9,8,2,1,I,7,L,6,S,11,0.50853,0.787336,0.400384
28,14,9,8,2,8,0,I,1,S,6,S,11,0.454795,0.75238,0.342179
28,15,1,2,8,2,1,I,1,S,6,S,15,0.617389,0.75539,0.46637
28,16,2,1,2,8,1,I,1,S,6,S,15,0.760508,0.61265,0.465925
29,1,8,9,2,8,1,C,1,S,6,S,9,0.321914,0.777669,0.250342
29,2,2,1,8,2,1,C,1,S,6,S,8,0.824711,0.228927,0.188799
29,3,1,8,2,8,1,C,7,L,6,S,7,0.149671,0.879077,0.131572
29,4,2,1,2,8,1,I,1,S,6,S,16,0.769761,0.615987,0.474163
29,5,9,8,8,2,1,C,1,S,6,S,9,0.783195,0.310839,0.243448
29,6,1,2,8,2,1,I,1,S,6,S,17,0.637854,0.752359,0.479896
29,7,2,9,8,2,1,I,7,L,6,S,10,0.489243,0.761686,0.372649
