ANN,Total,Error/TO,Incl,%,%,%,Congruent,Incongruent,SCE,Num,Num,Num,Num,Num,Num,Num,Num
,# Trials,# Trials,# Trials,Hits,Hits,Hits,,,I-C,Dist,Dist,Dist,Dist,Dist,Dist,Dist,Dist
,,,,C,I,C-I,,,,1,2,3,4,5,6,7,8
,,,,,,,Mean,Mean,Mean,Mean,Mean,Mean,Mean,Mean,Mean,Mean,Mean
1,72,2,70,97.222222,NaN,NaN,15.7,NaN,NaN,19.733333,16.538462,15.25,14.3,13.625,13,12.5,12.5
2,72,1,71,98.611111,NaN,NaN,16.084507,NaN,NaN,20.533333,16.928571,15.416667,14.5,13.875,13.166667,13,12.5
3,72,0,72,100,NaN,NaN,16.194444,NaN,NaN,20.1875,17.285714,15.416667,14.7,14,13.5,12.75,12.5
4,72,0,72,100,NaN,NaN,16.305556,NaN,NaN,19.5625,17.642857,15.833333,15,14.5,13.5,13,12.5
5,72,0,72,100,NaN,NaN,16.027778,NaN,NaN,19.375,17.071429,15.583333,14.6,14.125,13.5,13,13
6,72,0,72,100,NaN,NaN,15.791667,NaN,NaN,19.75,16.428571,15.25,14.5,13.625,13.333333,12.5,12
7,72,0,72,100,NaN,NaN,15.875,NaN,NaN,19.25,16.857143,15.583333,14.6,13.875,13.333333,12.75,12
8,72,2,70,97.222222,NaN,NaN,15.8,NaN,NaN,19.5,17,15.583333,14.3,13.625,13.333333,12.75,12.5
9,72,1,71,98.611111,NaN,NaN,15.971831,NaN,NaN,19.333333,17.214286,15.666667,14.6,14,13.333333,13,12.5
10,72,0,72,100,NaN,NaN,16.097222,NaN,NaN,19.9375,16.857143,15.666667,14.6,14,13.5,13,12.5
11,72,1,71,98.611111,NaN,NaN,15.197183,NaN,NaN,18.866667,16.071429,14.916667,13.9,13.125,12.5,12.25,12
12,72,0,72,100,NaN,NaN,15.75,NaN,NaN,19.9375,16.642857,15.166667,14.3,13.375,13,12.25,11.5
13,72,0,72,100,NaN,NaN,15.916667,NaN,NaN,19.4375,17,15.5,14.5,13.875,13.166667,13,12
14,72,0,72,100,NaN,NaN,15.583333,NaN,NaN,19.25,16.642857,15,14.2,13.375,13,12.5,12
15,72,1,71,98.611111,NaN,NaN,15.901408,NaN,NaN,19,17,15.666667,14.9,14,13.5,13,12
16,72,1,71,98.611111,NaN,NaN,15.746479,NaN,NaN,19.733333,16.642857,15.25,14.4,13.75,13,12.5,12
17,72,0,72,100,NaN,NaN,16.180556,NaN,NaN,19.875,17.285714,15.75,14.8,13.875,13.5,13,12
18,72,0,72,100,NaN,NaN,16.625,NaN,NaN,21.125,17.5,16,14.7,14.25,13.666667,13.25,13
19,72,0,72,100,NaN,NaN,16.013889,NaN,NaN,19.75,17,15.583333,14.6,13.875,13.166667,13,12
20,72,2,70,97.222222,NaN,NaN,15.542857,NaN,NaN,19.357143,16.571429,15.416667,14.1,13.5,12.833333,12.5,12
21,72,0,72,100,NaN,NaN,16.444444,NaN,NaN,19.75,17.428571,16.166667,15.2,14.625,13.666667,13.25,13
22,72,0,72,100,NaN,NaN,15.486111,NaN,NaN,19.4375,16.285714,14.833333,14,13.5,12.833333,12.25,12
23,72,0,72,100,NaN,NaN,15.777778,NaN,NaN,19.375,16.785714,15.333333,14.4,13.625,13.166667,12.75,12
24,72,0,72,100,NaN,NaN,15.902778,NaN,NaN,20.125,16.642857,15.333333,14.3,13.75,13.166667,12.5,12
25,72,0,72,100,NaN,NaN,15.652778,NaN,NaN,19.625,16.428571,15.083333,14.2,13.5,12.833333,12.5,12.5
26,72,0,72,100,NaN,NaN,16.25,NaN,NaN,19.75,17.214286,15.833333,15.1,14.25,13.666667,13,12
27,72,2,70,97.222222,NaN,NaN,15.571429,NaN,NaN,18.714286,16.5,15.5,14.5,14,13.166667,12.5,12.5
28,72,1,71,98.611111,NaN,NaN,16.028169,NaN,NaN,19.6,16.928571,15.833333,14.8,14,13.5,12.75,12.5
29,72,0,72,100,NaN,NaN,16.291667,NaN,NaN,20.0625,17.214286,15.833333,14.9,14,13.5,13.25,13
30,72,0,72,100,NaN,NaN,16.458333,NaN,NaN,20.25,17.428571,15.916667,15.1,14.375,13.833333,13,12.5
TOTALS:,2160,14,2146,99.351852,NaN,NaN,15.940354,NaN,NaN,19.680942,16.902148,15.505556,14.553333,13.8625,13.272222,12.775,12.3
