ANN,trial,N1,N2,P1,P2,Succ.,,Ndist,Ndist,Pdist,Pdist,rt,a1,a2,x_acc
1,1,3,8,0,0,1,,5,S,0,S,13,0.016126,0.766784,0.012365
1,2,7,8,0,0,1,,1,S,0,S,16,0.014425,0.783815,0.011306
1,3,1,2,0,0,1,,1,S,0,S,21,0.04844,0.753804,0.036514
1,4,8,5,0,0,1,,3,S,0,S,16,0.759185,0.033391,0.02535
1,5,6,7,0,0,1,,1,S,0,S,18,0.026727,0.773673,0.020678
1,6,3,2,0,0,1,,1,S,0,S,25,0.773199,0.033679,0.026041
1,7,1,8,0,0,1,,7,L,0,S,13,0.005247,0.781944,0.004103
1,8,5,6,0,0,1,,1,S,0,S,15,0.033671,0.757982,0.025522
1,9,2,8,0,0,1,,6,S,0,S,14,0.011325,0.779789,0.008831
1,10,8,2,0,0,1,,6,S,0,S,14,0.781977,0.011161,0.008727
1,11,9,6,0,0,1,,3,S,0,S,19,0.76727,0.034874,0.026758
1,12,6,1,0,0,1,,5,S,0,S,14,0.786452,0.007299,0.00574
1,13,8,4,0,0,1,,4,S,0,S,16,0.770866,0.027151,0.02093
1,14,3,9,0,0,1,,6,S,0,S,14,0.011871,0.779894,0.009258
1,15,8,7,0,0,1,,1,S,0,S,21,0.762602,0.037583,0.028661
1,16,6,3,0,0,1,,3,S,0,S,18,0.775581,0.025226,0.019565
1,17,4,1,0,0,1,,3,S,0,S,15,0.786274,0.009941,0.007816
1,18,7,4,0,0,1,,3,S,0,S,18,0.789437,0.016749,0.013222
1,19,5,8,0,0,1,,3,S,0,S,15,0.027433,0.764362,0.020969
1,20,9,5,0,0,1,,4,S,0,S,14,0.774077,0.016301,0.012618
1,21,9,3,0,0,1,,6,S,0,S,14,0.801178,0,0
1,22,6,2,0,0,1,,4,S,0,S,15,0.762266,0.031039,0.02366
1,23,7,5,0,0,1,,2,S,0,S,18,0.774016,0.026013,0.020134
1,24,2,6,0,0,1,,4,S,0,S,14,0.014957,0.776617,0.011616
1,25,4,6,0,0,1,,2,S,0,S,14,0.015912,0.773885,0.012314
1,26,8,1,0,0,1,,7,L,0,S,13,0.778869,0.007559,0.005887
1,27,8,3,0,0,1,,5,S,0,S,15,0.762357,0.028045,0.02138
1,28,7,3,0,0,1,,4,S,0,S,16,0.75919,0.03384,0.025691
1,29,4,9,0,0,1,,5,S,0,S,15,0.020794,0.771946,0.016052
1,30,1,3,0,0,1,,2,S,0,S,16,0.039137,0.75347,0.029488
1,31,5,2,0,0,1,,3,S,0,S,15,0.781437,0.016443,0.012849
1,32,1,5,0,0,1,,4,S,0,S,15,0.031954,0.758753,0.024245
1,33,2,7,0,0,1,,5,S,0,S,16,0.011631,0.787954,0.009165
1,34,5,3,0,0,1,,2,S,0,S,17,0.767974,0.029953,0.023003
1,35,6,4,0,0,1,,2,S,0,S,21,0.765522,0.039226,0.030028
1,36,7,9,0,0,1,,2,S,0,S,19,0.013844,0.791888,0.010963
1,37,9,8,0,0,1,,1,S,0,S,20,0.772329,0.030372,0.023457
1,38,5,1,0,0,1,,4,S,0,S,14,0.798158,0,0
1,39,1,6,0,0,1,,5,S,0,S,13,0.007604,0.780292,0.005934
1,40,6,9,0,0,1,,3,S,0,S,17,0.010581,0.792959,0.00839
1,41,2,3,0,0,1,,1,S,0,S,31,0.047691,0.753447,0.035933
1,42,9,4,0,0,1,,5,S,0,S,14,0.782027,0.012764,0.009981
1,43,4,5,0,0,1,,1,S,0,S,19,0.035591,0.7622,0.027127
1,44,2,9,0,0,1,,7,L,0,S,15,0.019614,0.775024,0.015201
1,45,3,1,0,0,1,,2,S,0,S,16,0.757395,0.036422,0.027586
1,46,1,9,0,0,1,,8,L,0,S,14,0,0.799207,0
1,47,4,8,0,0,1,,4,S,0,S,14,0.012288,0.77705,0.009549
1,48,6,8,0,0,1,,2,S,0,S,15,0.014136,0.781033,0.01104
1,49,3,5,0,0,1,,2,S,0,S,16,0.023669,0.772298,0.01828
1,50,9,1,0,0,1,,8,L,0,S,12,0.770391,0.008505,0.006552
1,51,6,5,0,0,1,,1,S,0,S,22,0.780835,0.024328,0.018996
1,52,8,9,0,0,1,,1,S,0,S,25,0.038183,0.764718,0.029199
1,53,5,4,0,0,1,,1,S,0,S,19,0.76426,0.038888,0.029721
1,54,2,1,0,0,1,,1,S,0,S,15,0.789334,0.00874,0.006899
1,55,9,7,0,0,1,,2,S,0,S,15,0.753406,0.036198,0.027272
1,56,3,4,0,0,1,,1,S,0,S,16,0.023191,0.776554,0.018009
1,57,1,4,0,0,1,,3,S,0,S,15,0.031393,0.763085,0.023955
1,58,4,3,0,0,0,,1,S,0,S,32,0.013382,0.794379,0.01063
1,59,2,5,0,0,1,,3,S,0,S,19,0.033474,0.766606,0.025662
1,60,4,7,0,0,1,,3,S,0,S,16,0.013016,0.784611,0.010213
1,61,5,7,0,0,1,,2,S,0,S,19,0.032149,0.768908,0.02472
1,62,4,2,0,0,1,,2,S,0,S,17,0.764429,0.033335,0.025482
1,63,3,6,0,0,1,,3,S,0,S,13,0.018797,0.764757,0.014375
1,64,9,2,0,0,1,,7,L,0,S,13,0.792116,0,0
1,65,8,6,0,0,0,,2,S,0,S,18,0.008964,0.796562,0.007141
1,66,7,2,0,0,1,,5,S,0,S,14,0.750043,0.03609,0.027069
1,67,3,7,0,0,1,,4,S,0,S,14,0.030357,0.754908,0.022917
1,68,1,7,0,0,1,,6,S,0,S,14,0.013648,0.777521,0.010612
1,69,7,1,0,0,1,,6,S,0,S,13,0.757404,0.024135,0.01828
1,70,2,4,0,0,1,,2,S,0,S,19,0.036056,0.76726,0.027664
1,71,5,9,0,0,1,,4,S,0,S,17,0.035988,0.76128,0.027397
1,72,7,6,0,0,0,,1,S,0,S,16,0.022026,0.775795,0.017087
2,1,4,7,0,0,1,,3,S,0,S,17,0.043089,0.75005,0.032319
2,2,8,7,0,0,1,,1,S,0,S,17,0.763271,0.035656,0.027215
2,3,8,6,0,0,1,,2,S,0,S,18,0.796401,0.00821,0.006539
2,4,6,5,0,0,1,,1,S,0,S,23,0.771978,0.033325,0.025726
2,5,8,3,0,0,1,,5,S,0,S,15,0.792125,0.004764,0.003774
2,6,5,7,0,0,1,,2,S,0,S,19,0.013886,0.790515,0.010977
2,7,4,5,0,0,1,,1,S,0,S,19,0.034074,0.76564,0.026088
2,8,7,3,0,0,1,,4,S,0,S,15,0.773798,0.016685,0.012911
2,9,5,8,0,0,1,,3,S,0,S,17,0.038003,0.752387,0.028593
2,10,9,3,0,0,1,,6,S,0,S,16,0.789017,0.008207,0.006475
2,11,9,8,0,0,1,,1,S,0,S,40,0.793779,0.012633,0.010028
2,12,2,3,0,0,1,,1,S,0,S,15,0.022954,0.765609,0.017574
2,13,5,4,0,0,1,,1,S,0,S,17,0.783505,0.015562,0.012193
2,14,3,9,0,0,1,,6,S,0,S,14,0,0.796648,0
2,15,6,3,0,0,1,,3,S,0,S,17,0.777886,0.019506,0.015174
2,16,9,5,0,0,1,,4,S,0,S,18,0.761357,0.037311,0.028407
2,17,4,9,0,0,1,,5,S,0,S,15,0,0.800283,0
2,18,6,7,0,0,1,,1,S,0,S,23,0.016528,0.792495,0.013098
2,19,5,3,0,0,1,,2,S,0,S,19,0.784996,0.014846,0.011654
2,20,8,9,0,0,1,,1,S,0,S,19,0.026445,0.776542,0.020536
2,21,7,2,0,0,1,,5,S,0,S,14,0.796548,0,0
2,22,2,9,0,0,1,,7,L,0,S,13,0,0.801902,0
2,23,8,5,0,0,1,,3,S,0,S,16,0.766031,0.031442,0.024085
2,24,6,9,0,0,1,,3,S,0,S,16,0.00211,0.799423,0.001687
2,25,1,4,0,0,1,,3,S,0,S,16,0.018682,0.775414,0.014486
2,26,2,4,0,0,1,,2,S,0,S,16,0.018892,0.77716,0.014682
2,27,2,8,0,0,1,,6,S,0,S,13,0.021542,0.756413,0.016294
2,28,4,3,0,0,1,,1,S,0,S,20,0.751152,0.042606,0.032003
2,29,5,6,0,0,1,,1,S,0,S,19,0.011767,0.789532,0.009291
2,30,3,8,0,0,1,,5,S,0,S,15,0.020312,0.773047,0.015702
2,31,1,9,0,0,1,,8,L,0,S,13,0,0.799777,0
2,32,9,6,0,0,1,,3,S,0,S,21,0.756216,0.041032,0.031029
2,33,7,1,0,0,1,,6,S,0,S,12,0.758855,0.013555,0.010286
2,34,2,5,0,0,1,,3,S,0,S,14,0.008666,0.783571,0.006791
2,35,5,2,0,0,1,,3,S,0,S,15,0.757433,0.031642,0.023967
2,36,1,7,0,0,1,,6,S,0,S,14,0,0.79861,0
2,37,7,5,0,0,1,,2,S,0,S,17,0.785829,0.015615,0.012271
2,38,1,3,0,0,1,,2,S,0,S,15,0.023013,0.763537,0.017571
2,39,6,1,0,0,1,,5,S,0,S,13,0.786453,0.000161,0.000126
2,40,3,1,0,0,1,,2,S,0,S,14,0.781715,0.010056,0.007861
2,41,9,1,0,0,1,,8,L,0,S,13,0.80295,0,0
2,42,3,5,0,0,1,,2,S,0,S,16,0.034195,0.763166,0.026096
2,43,9,7,0,0,1,,2,S,0,S,21,0.785648,0.020602,0.016186
2,44,8,1,0,0,1,,7,L,0,S,12,0.767902,0.008786,0.006747
2,45,2,7,0,0,1,,5,S,0,S,14,0,0.800776,0
2,46,4,2,0,0,1,,2,S,0,S,16,0.782826,0.014873,0.011643
2,47,4,8,0,0,1,,4,S,0,S,17,0.008195,0.79058,0.006478
2,48,2,6,0,0,1,,4,S,0,S,14,0,0.796677,0
2,49,6,8,0,0,1,,2,S,0,S,19,0.040807,0.754792,0.030801
2,50,5,1,0,0,1,,4,S,0,S,13,0.766381,0.013864,0.010625
2,51,8,4,0,0,1,,4,S,0,S,14,0.77556,0.015835,0.012281
2,52,9,2,0,0,1,,7,L,0,S,14,0.776285,0.014372,0.011157
2,53,8,2,0,0,1,,6,S,0,S,13,0.755995,0.026336,0.01991
2,54,7,8,0,0,0,,1,S,0,S,20,0.762723,0.034195,0.026081
2,55,6,4,0,0,1,,2,S,0,S,16,0.791246,0.00903,0.007145
2,56,1,2,0,0,1,,1,S,0,S,18,0.015325,0.785299,0.012035
2,57,5,9,0,0,1,,4,S,0,S,15,0.011236,0.782239,0.008789
2,58,3,2,0,0,1,,1,S,0,S,18,0.790612,0.015824,0.012511
2,59,2,1,0,0,1,,1,S,0,S,17,0.790581,0.008759,0.006925
2,60,3,4,0,0,0,,1,S,0,S,23,0.770477,0.03498,0.026952
2,61,7,6,0,0,1,,1,S,0,S,18,0.754781,0.038567,0.029109
2,62,3,7,0,0,1,,4,S,0,S,15,0.04023,0.75113,0.030218
2,63,6,2,0,0,1,,4,S,0,S,15,0.79608,0.003198,0.002546
2,64,7,9,0,0,1,,2,S,0,S,18,0.03352,0.762764,0.025568
2,65,7,4,0,0,1,,3,S,0,S,14,0.76002,0.025534,0.019406
2,66,1,5,0,0,1,,4,S,0,S,14,0.008877,0.781452,0.006937
2,67,9,4,0,0,1,,5,S,0,S,15,0.784765,0.010838,0.008505
2,68,4,6,0,0,1,,2,S,0,S,18,0.006285,0.795176,0.004998
2,69,4,1,0,0,1,,3,S,0,S,13,0.755595,0.022051,0.016661
2,70,3,6,0,0,1,,3,S,0,S,16,0.004095,0.797665,0.003266
2,71,1,6,0,0,1,,5,S,0,S,14,0,0.794424,0
2,72,1,8,0,0,1,,7,L,0,S,13,0.021778,0.75425,0.016426
3,1,2,8,0,0,1,,6,S,0,S,14,0.011354,0.779171,0.008846
3,2,3,8,0,0,1,,5,S,0,S,15,0.035162,0.754158,0.026518
3,3,6,1,0,0,1,,5,S,0,S,14,0.770843,0.017578,0.01355
3,4,7,5,0,0,1,,2,S,0,S,18,0.787241,0.016117,0.012688
3,5,7,4,0,0,1,,3,S,0,S,15,0.763195,0.027952,0.021333
3,6,7,3,0,0,1,,4,S,0,S,14,0.793641,0.000768,0.000609
3,7,4,9,0,0,1,,5,S,0,S,14,0.008107,0.782767,0.006346
3,8,5,1,0,0,1,,4,S,0,S,16,0.781744,0.016911,0.01322
3,9,1,8,0,0,1,,7,L,0,S,13,0.013445,0.771018,0.010366
3,10,4,5,0,0,1,,1,S,0,S,17,0.008546,0.795618,0.006799
3,11,8,9,0,0,1,,1,S,0,S,34,0.033361,0.768244,0.02563
3,12,3,7,0,0,1,,4,S,0,S,16,0.040818,0.751223,0.030663
3,13,5,2,0,0,1,,3,S,0,S,15,0.77952,0.015762,0.012287
3,14,9,6,0,0,0,,3,S,0,S,22,0.028808,0.776646,0.022374
3,15,8,6,0,0,1,,2,S,0,S,17,0.773472,0.024368,0.018848
3,16,8,7,0,0,1,,1,S,0,S,15,0.763019,0.027611,0.021068
3,17,6,5,0,0,0,,1,S,0,S,38,0.049475,0.751217,0.037167
3,18,1,5,0,0,1,,4,S,0,S,13,0.02646,0.754744,0.019971
3,19,2,5,0,0,1,,3,S,0,S,14,0.029428,0.756566,0.022264
3,20,1,3,0,0,1,,2,S,0,S,17,0.017502,0.784293,0.013727
3,21,6,3,0,0,1,,3,S,0,S,15,0.796261,0.002082,0.001658
3,22,5,3,0,0,1,,2,S,0,S,17,0.77808,0.022496,0.017504
3,23,8,1,0,0,1,,7,L,0,S,13,0.793849,0,0
3,24,3,9,0,0,1,,6,S,0,S,14,0.002963,0.789504,0.002339
3,25,6,8,0,0,1,,2,S,0,S,20,0.032088,0.768399,0.024657
3,26,9,2,0,0,1,,7,L,0,S,13,0.769271,0.015279,0.011754
3,27,9,7,0,0,1,,2,S,0,S,19,0.774918,0.028201,0.021853
3,28,6,7,0,0,0,,1,S,0,S,26,0.791462,0.016201,0.012822
3,29,9,3,0,0,1,,6,S,0,S,14,0.777888,0.014192,0.01104
3,30,3,1,0,0,1,,2,S,0,S,16,0.772339,0.024036,0.018564
3,31,3,6,0,0,1,,3,S,0,S,15,0.016229,0.778781,0.012639
3,32,2,1,0,0,1,,1,S,0,S,22,0.794928,0.012359,0.009824
3,33,5,9,0,0,1,,4,S,0,S,14,0.00589,0.785984,0.004629
3,34,5,4,0,0,0,,1,S,0,S,22,0.032513,0.77177,0.025093
3,35,4,1,0,0,1,,3,S,0,S,16,0.786163,0.01316,0.010346
3,36,8,2,0,0,1,,6,S,0,S,12,0.754882,0.018,0.013588
3,37,7,1,0,0,1,,6,S,0,S,13,0.759181,0.021684,0.016462
3,38,4,7,0,0,1,,3,S,0,S,17,0.018575,0.782379,0.014533
3,39,1,6,0,0,1,,5,S,0,S,13,0.004896,0.782499,0.003831
3,40,4,2,0,0,1,,2,S,0,S,15,0.782646,0.01306,0.010222
3,41,5,8,0,0,1,,3,S,0,S,16,0.004654,0.797244,0.00371
3,42,1,4,0,0,1,,3,S,0,S,14,0.032216,0.75364,0.024279
3,43,9,1,0,0,1,,8,L,0,S,14,0.799009,0,0
3,44,8,3,0,0,1,,5,S,0,S,13,0.779403,0.006548,0.005103
3,45,5,7,0,0,1,,2,S,0,S,17,0.012655,0.790216,0.01
3,46,9,4,0,0,1,,5,S,0,S,16,0.782737,0.017031,0.01333
3,47,7,6,0,0,1,,1,S,0,S,24,0.766457,0.03603,0.027615
3,48,4,3,0,0,1,,1,S,0,S,17,0.784558,0.017085,0.013404
3,49,7,2,0,0,1,,5,S,0,S,13,0.780667,0.005434,0.004242
3,50,6,4,0,0,1,,2,S,0,S,17,0.766135,0.03055,0.023405
3,51,7,8,0,0,0,,1,S,0,S,20,0.769246,0.031711,0.024394
3,52,2,3,0,0,1,,1,S,0,S,23,0.043762,0.756918,0.033124
3,53,1,7,0,0,1,,6,S,0,S,14,0,0.80321,0
3,54,8,4,0,0,1,,4,S,0,S,14,0.77428,0.015248,0.011806
3,55,3,4,0,0,1,,1,S,0,S,21,0.030998,0.772653,0.023951
3,56,2,7,0,0,1,,5,S,0,S,15,0,0.801136,0
3,57,5,6,0,0,1,,1,S,0,S,15,0.020929,0.773046,0.016179
3,58,9,5,0,0,1,,4,S,0,S,20,0.796347,0.012458,0.009921
3,59,6,9,0,0,1,,3,S,0,S,15,0.034323,0.752411,0.025825
3,60,4,8,0,0,1,,4,S,0,S,16,0.008724,0.791729,0.006907
3,61,3,5,0,0,1,,2,S,0,S,16,0.031717,0.763484,0.024216
3,62,3,2,0,0,1,,1,S,0,S,15,0.772567,0.020926,0.016167
3,63,9,8,0,0,1,,1,S,0,S,27,0.773677,0.032201,0.024913
3,64,4,6,0,0,1,,2,S,0,S,15,0.024409,0.768216,0.018751
3,65,2,4,0,0,1,,2,S,0,S,16,0.021439,0.775258,0.016621
3,66,2,6,0,0,1,,4,S,0,S,14,0,0.794216,0
3,67,8,5,0,0,1,,3,S,0,S,15,0.756527,0.033083,0.025028
3,68,6,2,0,0,1,,4,S,0,S,14,0.798302,0,0
3,69,1,2,0,0,1,,1,S,0,S,24,0.036494,0.766921,0.027988
3,70,7,9,0,0,1,,2,S,0,S,17,0.040928,0.750934,0.030734
3,71,2,9,0,0,1,,7,L,0,S,13,0.002784,0.782737,0.002179
3,72,1,9,0,0,1,,8,L,0,S,12,0.015029,0.758856,0.011405
4,1,8,1,0,0,1,,7,L,0,S,13,0.780513,0.003685,0.002877
4,2,4,1,0,0,1,,3,S,0,S,14,0.769166,0.016748,0.012882
4,3,7,9,0,0,1,,2,S,0,S,18,0.044171,0.756782,0.033428
4,4,9,5,0,0,1,,4,S,0,S,14,0.754795,0.029236,0.022067
4,5,7,8,0,0,1,,1,S,0,S,17,0.034046,0.762483,0.025959
4,6,2,6,0,0,1,,4,S,0,S,15,0.006252,0.7909,0.004945
4,7,7,6,0,0,1,,1,S,0,S,20,0.770014,0.033646,0.025908
4,8,2,4,0,0,1,,2,S,0,S,15,0.028388,0.763711,0.02168
4,9,3,6,0,0,1,,3,S,0,S,16,0.011237,0.790713,0.008885
4,10,6,7,0,0,0,,1,S,0,S,21,0.78518,0.021041,0.016521
4,11,8,9,0,0,1,,1,S,0,S,18,0.026242,0.775752,0.020358
4,12,9,4,0,0,1,,5,S,0,S,15,0.760653,0.029162,0.022182
4,13,3,2,0,0,1,,1,S,0,S,24,0.793743,0.016795,0.013331
4,14,1,3,0,0,1,,2,S,0,S,18,0.03048,0.76829,0.023417
4,15,2,3,0,0,1,,1,S,0,S,18,0.036399,0.758877,0.027623
4,16,8,2,0,0,1,,6,S,0,S,15,0.771207,0.021052,0.016236
4,17,5,2,0,0,1,,3,S,0,S,16,0.768244,0.026673,0.020492
4,18,5,1,0,0,1,,4,S,0,S,13,0.758826,0.020355,0.015446
4,19,6,5,0,0,1,,1,S,0,S,16,0.766689,0.029135,0.022337
4,20,7,3,0,0,1,,4,S,0,S,15,0.767063,0.025268,0.019382
4,21,6,8,0,0,1,,2,S,0,S,17,0.025247,0.771885,0.019488
4,22,1,2,0,0,1,,1,S,0,S,19,0.031503,0.770866,0.024285
4,23,5,6,0,0,1,,1,S,0,S,21,0.038622,0.761478,0.02941
