ANN,trial,N1,N2,P1,P2,Succ.,,Ndist,Ndist,Pdist,Pdist,rt,a1,a2,x_acc
1,1,6,2,0,0,1,,4,S,0,S,16,0.795441,0.008298,0.006601
1,2,3,2,0,0,1,,1,S,0,S,28,0.756045,0.048222,0.036458
1,3,7,1,0,0,1,,6,S,0,S,14,0.791145,0.003644,0.002883
1,4,4,9,0,0,1,,5,S,0,S,15,0.028295,0.762577,0.021577
1,5,9,6,0,0,1,,3,S,0,S,21,0.770494,0.034185,0.026339
1,6,6,3,0,0,1,,3,S,0,S,19,0.777028,0.025608,0.019898
1,7,8,2,0,0,1,,6,S,0,S,14,0.763769,0.02541,0.019408
1,8,4,5,0,0,1,,1,S,0,S,19,0.031944,0.767181,0.024507
1,9,1,2,0,0,1,,1,S,0,S,24,0.019773,0.791659,0.015653
1,10,1,7,0,0,1,,6,S,0,S,14,0.0297,0.757081,0.022485
1,11,8,9,0,0,1,,1,S,0,S,24,0.036626,0.766706,0.028081
1,12,4,7,0,0,1,,3,S,0,S,16,0.017625,0.779053,0.013731
1,13,6,4,0,0,1,,2,S,0,S,23,0.782943,0.026573,0.020806
1,14,7,3,0,0,1,,4,S,0,S,17,0.763944,0.032585,0.024893
1,15,5,3,0,0,1,,2,S,0,S,18,0.792508,0.012433,0.009853
1,16,9,2,0,0,1,,7,L,0,S,13,0.782645,0.007019,0.005493
1,17,2,6,0,0,1,,4,S,0,S,14,0.017904,0.773042,0.013841
1,18,7,6,0,0,0,,1,S,0,S,15,0.036842,0.75314,0.027747
1,19,3,6,0,0,1,,3,S,0,S,13,0.018197,0.765788,0.013935
1,20,4,2,0,0,1,,2,S,0,S,18,0.78268,0.020853,0.016321
1,21,1,9,0,0,1,,8,L,0,S,14,0.013734,0.778724,0.010695
1,22,1,4,0,0,1,,3,S,0,S,16,0.009945,0.794671,0.007903
1,23,5,9,0,0,1,,4,S,0,S,18,0.021923,0.781613,0.017135
1,24,5,1,0,0,1,,4,S,0,S,14,0.786327,0.008064,0.006341
1,25,9,5,0,0,1,,4,S,0,S,14,0.767957,0.021282,0.016344
1,26,2,5,0,0,1,,3,S,0,S,21,0.012551,0.795267,0.009982
1,27,5,4,0,0,1,,1,S,0,S,20,0.795792,0.014948,0.011896
1,28,1,8,0,0,1,,7,L,0,S,13,0.016337,0.767726,0.012543
1,29,2,8,0,0,1,,6,S,0,S,14,0.023508,0.76432,0.017967
