ANN,trial,N1,N2,P1,P2,Succ.,,Ndist,Ndist,Pdist,Pdist,rt,a1,a2,x_acc
1,1,1,5,0,0,1,,4,S,0,S,16,0.032619,0.762608,0.024875
1,2,9,4,0,0,1,,5,S,0,S,14,0.765314,0.026157,0.020018
1,3,4,2,0,0,1,,2,S,0,S,18,0.750224,0.046715,0.035047
1,4,6,8,0,0,1,,2,S,0,S,15,0.019887,0.774295,0.015398
1,5,1,9,0,0,1,,8,L,0,S,14,0.026053,0.763024,0.019879
1,6,7,3,0,0,1,,4,S,0,S,18,0.773192,0.027099,0.020953
1,7,4,5,0,0,1,,1,S,0,S,19,0.026034,0.774862,0.020173
1,8,2,9,0,0,1,,7,L,0,S,16,0.02006,0.778866,0.015624
1,9,5,7,0,0,1,,2,S,0,S,20,0.029147,0.77459,0.022577
1,10,5,8,0,0,1,,3,S,0,S,16,0.004009,0.798624,0.003202
1,11,1,3,0,0,1,,2,S,0,S,17,0.020747,0.780474,0.016193
1,12,6,7,0,0,1,,1,S,0,S,18,0.033575,0.765728,0.025709
1,13,7,1,0,0,1,,6,S,0,S,14,0.778589,0.013499,0.01051
1,14,8,6,0,0,0,,2,S,0,S,16,0.027711,0.768284,0.02129
1,15,7,5,0,0,1,,2,S,0,S,19,0.763017,0.03647,0.027827
1,16,2,5,0,0,1,,3,S,0,S,22,0.020612,0.786225,0.016206
1,17,5,4,0,0,1,,1,S,0,S,20,0.784298,0.024453,0.019178
1,18,8,9,0,0,1,,1,S,0,S,23,0.034627,0.76904,0.026629
1,19,6,4,0,0,1,,2,S,0,S,24,0.758746,0.046575,0.035339
1,20,7,4,0,0,1,,3,S,0,S,19,0.752429,0.047976,0.036099
1,21,4,3,0,0,0,,1,S,0,S,21,0.018336,0.786411,0.014419
1,22,1,2,0,0,1,,1,S,0,S,26,0.02602,0.784802,0.020421
1,23,4,6,0,0,1,,2,S,0,S,14,0.006767,0.786022,0.005319
1,24,3,1,0,0,1,,2,S,0,S,17,0.770546,0.029019,0.022361
1,25,8,2,0,0,1,,6,S,0,S,15,0.799023,0.002015,0.00161
1,26,3,5,0,0,1,,2,S,0,S,16,0.038365,0.754218,0.028936
1,27,8,5,0,0,1,,3,S,0,S,17,0.76863,0.028644,0.022016
1,28,1,7,0,0,1,,6,S,0,S,15,0.005324,0.793814,0.004226
1,29,7,8,0,0,1,,1,S,0,S,16,0.008781,0.791542,0.00695
1,30,1,8,0,0,1,,7,L,0,S,13,0.024879,0.75674,0.018827
1,31,4,8,0,0,1,,4,S,0,S,14,0.017861,0.770263,0.013758
1,32,9,1,0,0,1,,8,L,0,S,12,0.752198,0.022508,0.016931
1,33,9,8,0,0,1,,1,S,0,S,20,0.763007,0.038325,0.029242
1,34,6,1,0,0,1,,5,S,0,S,14,0.758332,0.029519,0.022385
1,35,3,6,0,0,1,,3,S,0,S,13,0.018202,0.765928,0.013941
1,36,2,4,0,0,1,,2,S,0,S,21,0.021972,0.787776,0.017309
1,37,3,8,0,0,1,,5,S,0,S,13,0.02709,0.752896,0.020396
1,38,8,7,0,0,1,,1,S,0,S,24,0.75543,0.044947,0.033954
1,39,5,2,0,0,1,,3,S,0,S,15,0.76011,0.033622,0.025556
1,40,4,9,0,0,1,,5,S,0,S,15,0.03245,0.757388,0.024577
1,41,7,9,0,0,1,,2,S,0,S,18,0.045503,0.750962,0.034171
1,42,4,1,0,0,1,,3,S,0,S,16,0.79805,0.003952,0.003154
1,43,5,9,0,0,1,,4,S,0,S,18,0.034572,0.765946,0.02648
1,44,3,4,0,0,1,,1,S,0,S,16,0.02884,0.770093,0.02221
1,45,6,5,0,0,1,,1,S,0,S,23,0.773354,0.031343,0.024239
1,46,9,2,0,0,1,,7,L,0,S,13,0.77471,0.013242,0.010259
1,47,2,8,0,0,1,,6,S,0,S,14,0.03235,0.753075,0.024362
1,48,9,6,0,0,1,,3,S,0,S,24,0.793476,0.017047,0.013526
1,49,8,1,0,0,1,,7,L,0,S,14,0.802017,0,0
1,50,2,1,0,0,1,,1,S,0,S,15,0.780209,0.016489,0.012865
1,51,1,6,0,0,1,,5,S,0,S,13,0.016143,0.769537,0.012423
1,52,3,2,0,0,0,,1,S,0,S,30,0.032134,0.776562,0.024954
1,53,3,7,0,0,1,,4,S,0,S,15,0.008777,0.788445,0.00692
1,54,6,3,0,0,1,,3,S,0,S,20,0.769623,0.032632,0.025114
1,55,8,4,0,0,1,,4,S,0,S,17,0.766846,0.033019,0.02532
1,56,4,7,0,0,1,,3,S,0,S,16,0.018936,0.777564,0.014724
1,57,7,2,0,0,1,,5,S,0,S,15,0.762736,0.030762,0.023464
1,58,9,7,0,0,1,,2,S,0,S,16,0.796537,0.00588,0.004683
1,59,5,1,0,0,1,,4,S,0,S,14,0.777493,0.015099,0.01174
1,60,2,3,0,0,1,,1,S,0,S,31,0.02756,0.779273,0.021477
1,61,3,9,0,0,1,,6,S,0,S,14,0.029092,0.758112,0.022055
1,62,9,5,0,0,1,,4,S,0,S,14,0.763034,0.025259,0.019274
1,63,2,6,0,0,1,,4,S,0,S,14,0.019738,0.770845,0.015215
1,64,7,6,0,0,0,,1,S,0,S,15,0.026376,0.766743,0.020224
1,65,6,9,0,0,1,,3,S,0,S,17,0.026912,0.772997,0.020803
1,66,2,7,0,0,1,,5,S,0,S,17,0.012345,0.790449,0.009758
1,67,1,4,0,0,1,,3,S,0,S,16,0.023427,0.777963,0.018226
1,68,8,3,0,0,1,,5,S,0,S,16,0.752055,0.039312,0.029565
1,69,5,6,0,0,1,,1,S,0,S,15,0.022213,0.773129,0.017173
1,70,6,2,0,0,1,,4,S,0,S,16,0.779163,0.021372,0.016652
1,71,9,3,0,0,1,,6,S,0,S,14,0.776646,0.014745,0.011451
