ANN,Total,Error/TO,Incl,%,%,%,Congruent,Incongruent,SCE,Num,Num,Num,Num,Num,Num,Num,Num
,# Trials,# Trials,# Trials,Hits,Hits,Hits,,,I-C,Dist,Dist,Dist,Dist,Dist,Dist,Dist,Dist
,,,,C,I,C-I,,,,1,2,3,4,5,6,7,8
,,,,,,,Mean,Mean,Mean,Mean,Mean,Mean,Mean,Mean,Mean,Mean,Mean
1,72,3,69,95.833333,NaN,NaN,16.333333,NaN,NaN,20.214286,17.076923,16.333333,14.9,14.25,13.833333,13.5,13
2,72,2,70,97.222222,NaN,NaN,16.314286,NaN,NaN,20.214286,17.285714,16,15,14.375,13.666667,13,13
3,72,5,67,93.055556,NaN,NaN,16.134328,NaN,NaN,21.166667,16.928571,15.181818,15.1,14.125,13.5,13,13
4,72,1,71,98.611111,NaN,NaN,16.605634,NaN,NaN,20.2,17.714286,16.166667,15.3,14.75,14,13.5,12.5
5,72,0,72,100,NaN,NaN,16.305556,NaN,NaN,19.875,18.214286,15.5,14.7,13.875,13.5,13,12
6,72,0,72,100,NaN,NaN,17.166667,NaN,NaN,20.75,18,16.75,15.9,15.25,14.5,14,13.5
7,72,2,70,97.222222,NaN,NaN,16.328571,NaN,NaN,20.2,17.153846,16,14.8,14.375,13.833333,13.25,13
8,72,2,70,97.222222,NaN,NaN,16.714286,NaN,NaN,20.266667,17.615385,16.833333,15.4,14.875,14,13,13
9,72,2,70,97.222222,NaN,NaN,16.6,NaN,NaN,21.357143,17.5,15.916667,15.1,14.375,13.833333,13.25,12.5
10,72,4,68,94.444444,NaN,NaN,16.058824,NaN,NaN,19.230769,17.230769,15.666667,15.4,14.375,13.833333,13,13
11,72,2,70,97.222222,NaN,NaN,17.142857,NaN,NaN,21.571429,18.357143,16.5,15.6,15,14.166667,13.75,13.5
12,72,1,71,98.611111,NaN,NaN,16.873239,NaN,NaN,21.866667,17.714286,15.916667,15.4,14.375,13.833333,13.5,12.5
13,72,1,71,98.611111,NaN,NaN,17.169014,NaN,NaN,21.133333,18.428571,16.666667,15.7,14.875,14.333333,13.75,13.5
14,72,1,71,98.611111,NaN,NaN,16.84507,NaN,NaN,20.133333,17.857143,16.75,15.9,14.75,14.5,13.5,12.5
15,72,1,71,98.611111,NaN,NaN,16.661972,NaN,NaN,21.4,17.357143,16,15.1,14.5,13.666667,13,13
16,72,2,70,97.222222,NaN,NaN,16.842857,NaN,NaN,21.133333,18.285714,15.909091,15.1,14.375,14,13.75,13
17,72,2,70,97.222222,NaN,NaN,16.742857,NaN,NaN,20.428571,17.571429,16.75,15.5,14.625,14.333333,13.75,13
18,72,0,72,100,NaN,NaN,17.638889,NaN,NaN,21.9375,18.571429,17,16.1,15.25,14.5,14.25,14
19,72,0,72,100,NaN,NaN,16.888889,NaN,NaN,20.625,18.214286,16.333333,15.4,14.625,14,13.5,13
20,72,1,71,98.611111,NaN,NaN,16.901408,NaN,NaN,20.866667,18,16.25,15.5,14.75,14.166667,13.75,13.5
21,72,0,72,100,NaN,NaN,17.152778,NaN,NaN,21.375,18.071429,16.666667,15.5,14.75,14.333333,13.75,13
22,72,0,72,100,NaN,NaN,17.027778,NaN,NaN,21.25,18.214286,16.416667,15.3,14.625,14,13.5,13
23,72,1,71,98.611111,NaN,NaN,17.197183,NaN,NaN,21.4,18.5,16.666667,15.5,14.75,14.333333,14,13
24,72,1,71,98.611111,NaN,NaN,16.71831,NaN,NaN,21.066667,18.071429,16.25,14.8,14.25,13.666667,13.25,13
25,72,1,71,98.611111,NaN,NaN,16.704225,NaN,NaN,20.2,18.071429,16.5,15.5,14.75,13.833333,12.75,12.5
26,72,2,70,97.222222,NaN,NaN,17.185714,NaN,NaN,23.142857,18.142857,16.416667,15.2,14.5,13.5,13.25,13
27,72,1,71,98.611111,NaN,NaN,16.802817,NaN,NaN,20.4,18,16.416667,15.4,14.875,14.166667,13.75,12.5
28,72,2,70,97.222222,NaN,NaN,16.514286,NaN,NaN,20.066667,18,16.5,14.8,14.25,13.833333,13.25,12.5
29,72,1,71,98.611111,NaN,NaN,17.042254,NaN,NaN,21.8,18.357143,16.416667,15.2,14.375,13.833333,13.5,12.5
30,72,4,68,94.444444,NaN,NaN,16.073529,NaN,NaN,19.307692,17.461538,16.166667,14.7,14.125,13.666667,13.25,13
TOTALS:,2160,45,2115,97.916667,NaN,NaN,16.760757,NaN,NaN,20.828442,17.871981,16.298883,15.293333,14.566667,13.972222,13.441667,12.933333
