ANN,Total,Error/TO,Incl,%,%,%,Congruent,Incongruent,SCE,Num,Num,Num,Num,Num,Num,Num,Num
,# Trials,# Trials,# Trials,Hits,Hits,Hits,,,I-C,Dist,Dist,Dist,Dist,Dist,Dist,Dist,Dist
,,,,C,I,C-I,,,,1,2,3,4,5,6,7,8
,,,,,,,Mean,Mean,Mean,Mean,Mean,Mean,Mean,Mean,Mean,Mean,Mean
1,72,4,68,94.444444,NaN,NaN,16.926471,NaN,NaN,20.461538,17.923077,17.583333,15.6,14.625,14.333333,14,13
2,72,0,72,100,NaN,NaN,17.486111,NaN,NaN,21.1875,18.571429,17,16.1,15.375,14.833333,14,13.5
3,72,4,68,94.444444,NaN,NaN,17.705882,NaN,NaN,22.230769,18.538462,17.75,16.3,15.5,14.833333,14.25,14
4,72,5,67,93.055556,NaN,NaN,16.58209,NaN,NaN,19.666667,17.538462,16.916667,15.8,15,14.333333,13.5,13
5,72,7,65,90.277778,NaN,NaN,16.292308,NaN,NaN,19.642857,16.6,16.545455,15.2,14.625,14,14.25,13
6,72,2,70,97.222222,NaN,NaN,17.2,NaN,NaN,20.428571,19,17,15.8,15,14.666667,13.75,13.5
7,72,2,70,97.222222,NaN,NaN,16.757143,NaN,NaN,20.428571,17.928571,16.5,15.4,14.875,13.833333,13.75,13.5
8,72,6,66,91.666667,NaN,NaN,16.969697,NaN,NaN,21.153846,18.076923,15.9,15.9,15.375,14.5,13.75,13.5
9,72,5,67,93.055556,NaN,NaN,16.910448,NaN,NaN,20,18.333333,16.363636,16,15.125,14.5,14.25,14
10,72,4,68,94.444444,NaN,NaN,17.308824,NaN,NaN,20.928571,18.166667,17.666667,15.8,15.25,14.833333,14.25,14
11,72,4,68,94.444444,NaN,NaN,16.632353,NaN,NaN,20.142857,17.692308,16.363636,15.3,14.625,14.5,13.75,13.5
12,72,4,68,94.444444,NaN,NaN,16.602941,NaN,NaN,20,17.538462,16.583333,15.7,15,14.166667,13.5,13
13,72,2,70,97.222222,NaN,NaN,17.957143,NaN,NaN,21.642857,19.285714,17.833333,16.8,15.875,15.333333,14,13.5
14,72,3,69,95.833333,NaN,NaN,18.115942,NaN,NaN,21.769231,19.785714,18,16.8,15.875,15,15,14.5
15,72,0,72,100,NaN,NaN,18.513889,NaN,NaN,22.5,19.571429,18.333333,16.8,16.25,15.5,14.75,14.5
16,72,4,68,94.444444,NaN,NaN,17.25,NaN,NaN,21.692308,18.153846,16.833333,16,15.375,14.666667,13.75,13.5
17,72,7,65,90.277778,NaN,NaN,17.646154,NaN,NaN,21.142857,17.636364,18.916667,15.75,16.25,14.666667,14.5,14
18,72,2,70,97.222222,NaN,NaN,17.085714,NaN,NaN,21.142857,18.142857,16.75,15.8,15,14.166667,13.75,13.5
19,72,5,67,93.055556,NaN,NaN,17.432836,NaN,NaN,22,18.615385,17.333333,16,15.125,14.5,14.25,14.5
20,72,4,68,94.444444,NaN,NaN,17.544118,NaN,NaN,21.642857,18.166667,17.5,16.3,15.625,14.833333,14.5,13.5
21,72,4,68,94.444444,NaN,NaN,16.794118,NaN,NaN,20.666667,18.230769,16.181818,15.222222,14.625,14,13.5,12.5
22,72,2,70,97.222222,NaN,NaN,16.928571,NaN,NaN,21.285714,17.928571,16.5,15.6,14.625,14.166667,13.5,13
23,72,2,70,97.222222,NaN,NaN,17.914286,NaN,NaN,24,19.214286,16.727273,15.7,14.75,14.166667,13.5,13.5
24,72,3,69,95.833333,NaN,NaN,17.434783,NaN,NaN,20.428571,19.461538,17.333333,16.2,15.375,14.666667,14,13.5
25,72,3,69,95.833333,NaN,NaN,17.347826,NaN,NaN,21.928571,18,17.166667,16.1,15.375,14.166667,13.75,13
26,72,4,68,94.444444,NaN,NaN,17.691176,NaN,NaN,21.692308,19,17.75,16.1,15.625,14.833333,14.25,14.5
27,72,5,67,93.055556,NaN,NaN,16.328358,NaN,NaN,19.285714,18,15.6,15.4,14.875,13.833333,13.25,12.5
28,72,5,67,93.055556,NaN,NaN,17.104478,NaN,NaN,20.538462,18.333333,16.75,16.6,15.25,14.166667,14.25,14
29,72,3,69,95.833333,NaN,NaN,17.898551,NaN,NaN,22.285714,19.846154,17.333333,16.6,15.125,14.333333,14,14
30,72,2,70,97.222222,NaN,NaN,17.5,NaN,NaN,21,19,17.416667,16.2,15.375,14.833333,14,13
TOTALS:,2160,107,2053,95.046296,NaN,NaN,17.268388,NaN,NaN,21.111111,18.439898,17.105413,15.96633,15.225,14.505556,13.983333,13.55
