ANN,Total,Error/TO,Incl,%,%,%,Congruent,Incongruent,SCE,Num,Num,Num,Num,Num,Num,Num,Num
,# Trials,# Trials,# Trials,Hits,Hits,Hits,,,I-C,Dist,Dist,Dist,Dist,Dist,Dist,Dist,Dist
,,,,C,I,C-I,,,,1,2,3,4,5,6,7,8
,,,,,,,Mean,Mean,Mean,Mean,Mean,Mean,Mean,Mean,Mean,Mean,Mean
1,72,0,72,100,NaN,NaN,13.125,NaN,NaN,16.1875,13.857143,12.833333,11.9,11.5,10.833333,10.5,10
2,72,0,72,100,NaN,NaN,13.055556,NaN,NaN,16.25,13.785714,12.666667,11.7,11.375,10.833333,10.5,10
3,72,0,72,100,NaN,NaN,13.083333,NaN,NaN,16.125,13.785714,12.75,11.9,11.375,11,10.5,10
4,72,0,72,100,NaN,NaN,13.166667,NaN,NaN,16.25,14,12.75,12,11.375,11,10.5,10
5,72,0,72,100,NaN,NaN,13.180556,NaN,NaN,16.1875,14,12.916667,11.9,11.5,11,10.5,10
6,72,0,72,100,NaN,NaN,13.305556,NaN,NaN,16.4375,14.214286,12.916667,12.1,11.5,11,10.5,10
7,72,0,72,100,NaN,NaN,13.208333,NaN,NaN,16.3125,14.071429,12.75,11.9,11.625,11,10.5,10
8,72,0,72,100,NaN,NaN,13.208333,NaN,NaN,16.3125,14.142857,12.75,12.1,11.375,10.833333,10.5,10
9,72,0,72,100,NaN,NaN,13.138889,NaN,NaN,16.1875,14,12.75,12,11.5,10.666667,10.5,10
10,72,0,72,100,NaN,NaN,12.986111,NaN,NaN,16.0625,13.857143,12.5,11.8,11.25,10.666667,10.5,10
11,72,0,72,100,NaN,NaN,13.208333,NaN,NaN,16.3125,14.142857,12.833333,12,11.375,10.833333,10.5,10
12,72,0,72,100,NaN,NaN,13.083333,NaN,NaN,16.25,13.785714,12.583333,12,11.375,10.833333,10.5,10
13,72,0,72,100,NaN,NaN,13.069444,NaN,NaN,16,13.857143,12.75,12,11.5,10.833333,10.25,10
14,72,0,72,100,NaN,NaN,13.208333,NaN,NaN,16.375,14,12.916667,12,11.375,10.833333,10.5,10
15,72,0,72,100,NaN,NaN,13.180556,NaN,NaN,16.0625,14.142857,12.75,12.1,11.5,11,10.5,10
16,72,0,72,100,NaN,NaN,13.180556,NaN,NaN,16.3125,13.928571,12.833333,11.9,11.5,11,10.5,10
17,72,0,72,100,NaN,NaN,13.138889,NaN,NaN,16.1875,13.928571,12.833333,11.9,11.375,11,10.5,10
18,72,0,72,100,NaN,NaN,13.041667,NaN,NaN,15.9375,13.928571,12.666667,12,11.375,10.833333,10.25,10
19,72,0,72,100,NaN,NaN,13.25,NaN,NaN,16.4375,14.071429,12.916667,11.9,11.5,11,10.5,10
20,72,0,72,100,NaN,NaN,13,NaN,NaN,16.25,13.785714,12.5,11.8,11.125,10.666667,10.5,10
21,72,0,72,100,NaN,NaN,13.305556,NaN,NaN,16.3125,14.214286,13,12.1,11.5,11.166667,10.5,10
22,72,0,72,100,NaN,NaN,13.111111,NaN,NaN,16.125,13.928571,12.75,11.9,11.375,11,10.5,10
23,72,0,72,100,NaN,NaN,13.125,NaN,NaN,16.0625,13.928571,12.75,11.9,11.5,11.166667,10.5,10
24,72,0,72,100,NaN,NaN,13.166667,NaN,NaN,16.3125,14.071429,12.75,11.9,11.375,10.833333,10.5,10
25,72,0,72,100,NaN,NaN,13.166667,NaN,NaN,16.3125,13.928571,12.833333,11.8,11.5,11,10.5,10
26,72,0,72,100,NaN,NaN,13.236111,NaN,NaN,16.3125,14.071429,12.833333,12.1,11.5,11,10.5,10
27,72,0,72,100,NaN,NaN,13.25,NaN,NaN,16.4375,14,12.833333,12.1,11.5,11,10.5,10
28,72,0,72,100,NaN,NaN,13.208333,NaN,NaN,16.0625,14.071429,13,12.1,11.625,10.833333,10.5,10
29,72,0,72,100,NaN,NaN,12.944444,NaN,NaN,16.125,13.642857,12.5,11.8,11.25,10.666667,10.25,10
30,72,0,72,100,NaN,NaN,13.291667,NaN,NaN,16.375,14.285714,12.833333,12.1,11.625,10.833333,10.5,10
TOTALS:,2160,0,2160,100,NaN,NaN,13.154167,NaN,NaN,16.229167,13.980952,12.775,11.956667,11.4375,10.905556,10.475,10
