ANN,trial,N1,N2,P1,P2,Succ.,,Ndist,Ndist,Pdist,Pdist,rt,a1,a2,x_acc
1,1,2,6,0,0,1,,4,S,0,S,14,0.015127,0.776318,0.011743
1,2,2,1,0,0,1,,1,S,0,S,15,0.791251,0.007117,0.005631
1,3,5,1,0,0,1,,4,S,0,S,14,0.802039,0,0
1,4,3,4,0,0,1,,1,S,0,S,16,0.021142,0.779012,0.01647
1,5,6,8,0,0,1,,2,S,0,S,15,0.012145,0.783471,0.009515
1,6,5,4,0,0,1,,1,S,0,S,19,0.769184,0.034849,0.026806
1,7,6,5,0,0,1,,1,S,0,S,22,0.78422,0.021493,0.016855
1,8,3,5,0,0,1,,2,S,0,S,16,0.020122,0.776673,0.015628
1,9,9,3,0,0,1,,6,S,0,S,13,0.751428,0.028436,0.021367
1,10,8,7,0,0,1,,1,S,0,S,21,0.776657,0.026303,0.020428
1,11,4,6,0,0,1,,2,S,0,S,14,0.018178,0.770871,0.014013
1,12,9,7,0,0,1,,2,S,0,S,15,0.755072,0.034807,0.026282
1,13,6,9,0,0,1,,3,S,0,S,17,0.006705,0.797715,0.005349
1,14,1,7,0,0,1,,6,S,0,S,14,0.009279,0.783056,0.007266
1,15,6,7,0,0,1,,1,S,0,S,18,0.024413,0.776457,0.018956
1,16,3,2,0,0,1,,1,S,0,S,25,0.792533,0.017933,0.014213
1,17,3,1,0,0,1,,2,S,0,S,16,0.762749,0.032103,0.024486
1,18,8,1,0,0,1,,7,L,0,S,13,0.783905,0.00367,0.002877
1,19,4,9,0,0,1,,5,S,0,S,15,0.01753,0.776029,0.013604
1,20,4,5,0,0,1,,1,S,0,S,19,0.033454,0.764755,0.025584
1,21,4,3,0,0,1,,1,S,0,S,32,0.780825,0.024224,0.018915
1,22,9,8,0,0,1,,1,S,0,S,20,0.772036,0.030497,0.023545
1,23,4,1,0,0,1,,3,S,0,S,15,0.791603,0.005677,0.004494
1,24,1,8,0,0,1,,7,L,0,S,13,0.001774,0.786399,0.001395
1,25,9,2,0,0,1,,7,L,0,S,13,0.79533,0,0
1,26,2,5,0,0,1,,3,S,0,S,19,0.020928,0.782224,0.016371
1,27,8,6,0,0,0,,2,S,0,S,18,0.025609,0.775618,0.019863
1,28,8,4,0,0,1,,4,S,0,S,16,0.778369,0.021185,0.01649
1,29,7,6,0,0,0,,1,S,0,S,16,0.03352,0.761075,0.025511
1,30,1,3,0,0,1,,2,S,0,S,16,0.034919,0.758733,0.026494
1,31,6,1,0,0,1,,5,S,0,S,14,0.791095,0.003612,0.002858
