ANN,Total,Error/TO,Incl,%,%,%,Congruent,Incongruent,SCE,Num,Num,Num,Num,Num,Num,Num,Num
,# Trials,# Trials,# Trials,Hits,Hits,Hits,,,I-C,Dist,Dist,Dist,Dist,Dist,Dist,Dist,Dist
,,,,C,I,C-I,,,,1,2,3,4,5,6,7,8
,,,,,,,Mean,Mean,Mean,Mean,Mean,Mean,Mean,Mean,Mean,Mean,Mean
1,72,3,69,95.833333,NaN,NaN,16.492754,NaN,NaN,20.5,17.230769,16.5,15.1,14.375,13.833333,13.5,13
2,72,2,70,97.222222,NaN,NaN,17.057143,NaN,NaN,20.571429,18.214286,16.666667,16,15.125,14.5,14,13.5
3,72,4,68,94.444444,NaN,NaN,16.735294,NaN,NaN,20.75,18.214286,16.333333,15.4,14.75,14,14,13
4,72,1,71,98.611111,NaN,NaN,17.070423,NaN,NaN,21.2,17.714286,16.583333,16,15,14.166667,13.75,13.5
5,72,2,70,97.222222,NaN,NaN,17.185714,NaN,NaN,21.285714,18.5,16.666667,15.7,15,14.5,13.75,13.5
6,72,2,70,97.222222,NaN,NaN,16.314286,NaN,NaN,19.857143,17.714286,16.25,14.9,14.125,13.5,13.25,12.5
7,72,0,72,100,NaN,NaN,17.402778,NaN,NaN,21.5,18.571429,16.833333,15.7,15.125,14.5,13.75,13.5
8,72,2,70,97.222222,NaN,NaN,17.557143,NaN,NaN,22.785714,18.857143,17.083333,15.5,14.75,14.333333,13.75,13.5
9,72,2,70,97.222222,NaN,NaN,16.928571,NaN,NaN,22.214286,18.428571,15.916667,15,14.125,13.833333,13.25,13
10,72,0,72,100,NaN,NaN,17.486111,NaN,NaN,22.75,18.214286,16.833333,15.6,14.875,14,13.25,13
11,72,3,69,95.833333,NaN,NaN,16.985507,NaN,NaN,20.538462,18.285714,16.833333,15.9,15,14.333333,13.75,13.5
12,72,0,72,100,NaN,NaN,17.319444,NaN,NaN,21.375,18.428571,16.75,15.8,15,14.333333,14,13
13,72,0,72,100,NaN,NaN,17.194444,NaN,NaN,21.5,18.142857,16.583333,15.6,15.125,14,13.25,13.5
14,72,1,71,98.611111,NaN,NaN,16.943662,NaN,NaN,20.466667,17.857143,16.75,15.7,15.125,14.5,13.5,13
15,72,1,71,98.611111,NaN,NaN,16.704225,NaN,NaN,20.333333,18.285714,16.25,15.1,14.625,14,13.25,12.5
16,72,3,69,95.833333,NaN,NaN,16.898551,NaN,NaN,21.214286,17.153846,17.333333,15.7,14.75,14,13.25,13
17,72,2,70,97.222222,NaN,NaN,17.2,NaN,NaN,20.142857,18.571429,17.083333,16.3,15.375,14.666667,14.25,13
18,72,1,71,98.611111,NaN,NaN,16.985915,NaN,NaN,20.466667,18,16.75,16,15,14.333333,13.5,13
19,72,1,71,98.611111,NaN,NaN,17.197183,NaN,NaN,21.466667,18.214286,17.083333,15.3,14.875,14.333333,13.5,13.5
20,72,2,70,97.222222,NaN,NaN,16.742857,NaN,NaN,20.214286,18.142857,16.333333,15.4,14.75,14.333333,13.75,13
21,72,4,68,94.444444,NaN,NaN,16.75,NaN,NaN,21.166667,18.142857,16.666667,15.2,14.375,14,13.5,13
22,72,3,69,95.833333,NaN,NaN,16.681159,NaN,NaN,19.692308,18.142857,16.666667,15.5,14.75,14.333333,13.75,13.5
23,72,1,71,98.611111,NaN,NaN,17.352113,NaN,NaN,21.2,18.857143,16.666667,15.9,15.125,14.5,14,13.5
24,72,3,69,95.833333,NaN,NaN,16.231884,NaN,NaN,20.076923,17.714286,16.333333,14.7,13.875,13.5,13,12
25,72,1,71,98.611111,NaN,NaN,16.802817,NaN,NaN,20,18.357143,16.333333,15.6,14.875,14.166667,13.5,13
26,72,2,70,97.222222,NaN,NaN,17.314286,NaN,NaN,22.642857,18,16.583333,15.8,14.875,14.166667,13.75,13.5
27,72,2,70,97.222222,NaN,NaN,16.8,NaN,NaN,20.714286,17.714286,16.666667,15.4,14.5,14.166667,13.75,14
28,72,2,70,97.222222,NaN,NaN,17.528571,NaN,NaN,22.214286,18.714286,17.083333,15.7,15.375,14.333333,14,13.5
29,72,3,69,95.833333,NaN,NaN,17.405797,NaN,NaN,21.5,18.384615,16.916667,16.2,15.25,14.666667,14.5,14
30,72,2,70,97.222222,NaN,NaN,16.757143,NaN,NaN,21,17.692308,16.25,15.4,14.5,13.833333,13.5,13
TOTALS:,2160,55,2105,97.453704,NaN,NaN,17.003325,NaN,NaN,21.060606,18.153846,16.652778,15.57,14.8125,14.188889,13.65,13.2
