ANN,trial,N1,N2,P1,P2,Succ.,,Ndist,Ndist,Pdist,Pdist,rt,a1,a2,x_acc
1,1,2,6,0,0,1,,4,S,0,S,12,0,0.800509,0
1,2,2,7,0,0,1,,5,S,0,S,12,0,0.80777,0
1,3,9,5,0,0,1,,4,S,0,S,12,0.770922,0.001126,0.000868
1,4,3,4,0,0,1,,1,S,0,S,14,0.02026,0.760713,0.015412
1,5,1,7,0,0,1,,6,S,0,S,11,0,0.807342,0
1,6,4,9,0,0,1,,5,S,0,S,12,0,0.785395,0
1,7,7,5,0,0,1,,2,S,0,S,14,0.781184,0.00271,0.002117
1,8,4,3,0,0,1,,1,S,0,S,17,0.751826,0.031285,0.023521
1,9,1,6,0,0,1,,5,S,0,S,11,0,0.803046,0
1,10,1,4,0,0,1,,3,S,0,S,12,0,0.800467,0
1,11,6,2,0,0,1,,4,S,0,S,12,0.792398,0,0
1,12,2,3,0,0,1,,1,S,0,S,16,0.006408,0.782638,0.005015
1,13,3,2,0,0,1,,1,S,0,S,16,0.769198,0.019049,0.014652
1,14,5,9,0,0,1,,4,S,0,S,13,0,0.782908,0
1,15,4,8,0,0,1,,4,S,0,S,12,0,0.789968,0
1,16,6,4,0,0,1,,2,S,0,S,15,0.797854,0,0
1,17,6,7,0,0,1,,1,S,0,S,16,0.006588,0.783939,0.005165
1,18,9,7,0,0,1,,2,S,0,S,14,0.768779,0.01335,0.010263
1,19,1,9,0,0,1,,8,L,0,S,10,0,0.76678,0
1,20,6,1,0,0,1,,5,S,0,S,11,0.793872,0,0
1,21,2,8,0,0,1,,6,S,0,S,11,0,0.785253,0
1,22,2,9,0,0,1,,7,L,0,S,11,0,0.782373,0
1,23,2,4,0,0,1,,2,S,0,S,14,0,0.798282,0
1,24,8,6,0,0,1,,2,S,0,S,16,0.781291,0.010346,0.008083
1,25,1,3,0,0,1,,2,S,0,S,12,0.01239,0.753037,0.00933
1,26,9,6,0,0,1,,3,S,0,S,14,0.798242,0,0
1,27,5,4,0,0,1,,1,S,0,S,16,0.773114,0.017808,0.013767
1,28,7,9,0,0,1,,2,S,0,S,16,0.017344,0.771814,0.013386
1,29,8,4,0,0,1,,4,S,0,S,12,0.758442,0.011492,0.008716
1,30,5,8,0,0,1,,3,S,0,S,13,0,0.790307,0
1,31,9,1,0,0,1,,8,L,0,S,10,0.786203,0,0
1,32,5,7,0,0,1,,2,S,0,S,14,0.024175,0.753214,0.018209
1,33,4,7,0,0,1,,3,S,0,S,13,0,0.789873,0
1,34,5,6,0,0,1,,1,S,0,S,15,0.01288,0.775076,0.009983
1,35,6,5,0,0,1,,1,S,0,S,17,0.781549,0.010021,0.007832
1,36,5,3,0,0,1,,2,S,0,S,14,0.783489,0.000987,0.000774
1,37,7,2,0,0,1,,5,S,0,S,11,0.771395,0,0
1,38,6,9,0,0,1,,3,S,0,S,14,0,0.798276,0
1,39,9,8,0,0,1,,1,S,0,S,18,0.769278,0.022754,0.017504
1,40,5,2,0,0,1,,3,S,0,S,12,0.770033,0.002546,0.00196
1,41,2,5,0,0,1,,3,S,0,S,13,0,0.785842,0
1,42,3,1,0,0,1,,2,S,0,S,13,0.799028,0,0
1,43,9,2,0,0,1,,7,L,0,S,11,0.812895,0,0
1,44,8,1,0,0,1,,7,L,0,S,10,0.766579,0,0
1,45,7,3,0,0,1,,4,S,0,S,12,0.773831,0,0
1,46,4,6,0,0,1,,2,S,0,S,13,0.002489,0.776322,0.001932
1,47,6,3,0,0,1,,3,S,0,S,13,0.770258,0.006403,0.004932
1,48,9,3,0,0,1,,6,S,0,S,11,0.772515,0,0
1,49,3,6,0,0,1,,3,S,0,S,12,0,0.784077,0
1,50,4,1,0,0,1,,3,S,0,S,12,0.796056,0,0
1,51,7,1,0,0,1,,6,S,0,S,10,0.755755,0,0
1,52,7,8,0,0,1,,1,S,0,S,16,0,0.794951,0
1,53,1,8,0,0,1,,7,L,0,S,10,0,0.768641,0
1,54,3,9,0,0,1,,6,S,0,S,11,0,0.770161,0
1,55,2,1,0,0,1,,1,S,0,S,13,0.773961,0.003258,0.002522
1,56,9,4,0,0,1,,5,S,0,S,12,0.803637,0,0
1,57,8,9,0,0,1,,1,S,0,S,19,0.029036,0.762428,0.022138
1,58,7,6,0,0,1,,1,S,0,S,19,0.786227,0.01111,0.008735
1,59,8,7,0,0,1,,1,S,0,S,17,0.764277,0.023548,0.017997
1,60,8,3,0,0,1,,5,S,0,S,12,0.795581,0,0
1,61,8,5,0,0,1,,3,S,0,S,13,0.769099,0.007195,0.005533
1,62,7,4,0,0,1,,3,S,0,S,13,0.784289,0,0
1,63,4,5,0,0,1,,1,S,0,S,16,0.003932,0.784982,0.003087
1,64,3,8,0,0,1,,5,S,0,S,11,0,0.77341,0
1,65,6,8,0,0,1,,2,S,0,S,13,0.017727,0.755671,0.013396
1,66,8,2,0,0,1,,6,S,0,S,11,0.786649,0,0
1,67,5,1,0,0,1,,4,S,0,S,11,0.77988,0,0
1,68,4,2,0,0,1,,2,S,0,S,13,0.750257,0.021669,0.016257
1,69,3,5,0,0,1,,2,S,0,S,13,0.01447,0.758718,0.010979
1,70,3,7,0,0,1,,4,S,0,S,12,0,0.792523,0
1,71,1,5,0,0,1,,4,S,0,S,11,0,0.760631,0
1,72,1,2,0,0,1,,1,S,0,S,14,0.016037,0.764803,0.012265
2,1,1,7,0,0,1,,6,S,0,S,11,0,0.810065,0
2,2,2,9,0,0,1,,7,L,0,S,11,0,0.801934,0
2,3,1,8,0,0,1,,7,L,0,S,10,0,0.765846,0
2,4,5,4,0,0,1,,1,S,0,S,16,0.772539,0.014354,0.011089
2,5,7,2,0,0,1,,5,S,0,S,11,0.777152,0,0
2,6,3,9,0,0,1,,6,S,0,S,11,0,0.781465,0
2,7,2,5,0,0,1,,3,S,0,S,12,0.01372,0.751068,0.010305
2,8,9,6,0,0,1,,3,S,0,S,13,0.769075,0.00875,0.006729
2,9,2,7,0,0,1,,5,S,0,S,11,0,0.768027,0
2,10,3,4,0,0,1,,1,S,0,S,15,0,0.794394,0
2,11,5,9,0,0,1,,4,S,0,S,12,0.01368,0.750525,0.010267
2,12,8,4,0,0,1,,4,S,0,S,12,0.753447,0.013755,0.010364
2,13,8,2,0,0,1,,6,S,0,S,11,0.779814,0,0
2,14,6,5,0,0,1,,1,S,0,S,15,0.771756,0.013461,0.010388
2,15,1,5,0,0,1,,4,S,0,S,11,0.001318,0.75735,0.000998
2,16,6,1,0,0,1,,5,S,0,S,11,0.798773,0,0
2,17,8,1,0,0,1,,7,L,0,S,10,0.755315,0,0
2,18,5,6,0,0,1,,1,S,0,S,17,0.023256,0.761898,0.017719
2,19,7,9,0,0,1,,2,S,0,S,16,0.00873,0.77885,0.006799
2,20,2,3,0,0,1,,1,S,0,S,14,0.019453,0.759882,0.014782
2,21,5,8,0,0,1,,3,S,0,S,13,0,0.78731,0
2,22,6,7,0,0,1,,1,S,0,S,17,0.036467,0.751423,0.027402
2,23,6,8,0,0,1,,2,S,0,S,14,0.02013,0.75992,0.015297
2,24,6,9,0,0,1,,3,S,0,S,14,0,0.791006,0
2,25,7,6,0,0,1,,1,S,0,S,15,0.784385,0.001841,0.001444
2,26,2,4,0,0,1,,2,S,0,S,13,0.014566,0.759944,0.01107
2,27,9,1,0,0,1,,8,L,0,S,10,0.77505,0,0
2,28,9,8,0,0,1,,1,S,0,S,20,0.777545,0.018967,0.014748
2,29,4,7,0,0,1,,3,S,0,S,13,0,0.783792,0
2,30,3,1,0,0,1,,2,S,0,S,13,0.778585,0,0
2,31,5,1,0,0,1,,4,S,0,S,11,0.764114,0,0
2,32,4,2,0,0,1,,2,S,0,S,13,0.772724,0.003857,0.00298
2,33,3,8,0,0,1,,5,S,0,S,11,0,0.771958,0
2,34,8,9,0,0,1,,1,S,0,S,16,0.008019,0.781896,0.00627
2,35,1,4,0,0,1,,3,S,0,S,12,0,0.788853,0
2,36,2,6,0,0,1,,4,S,0,S,12,0,0.787092,0
2,37,4,5,0,0,1,,1,S,0,S,17,0.011235,0.778748,0.00875
2,38,7,4,0,0,1,,3,S,0,S,13,0.804865,0,0
2,39,5,2,0,0,1,,3,S,0,S,12,0.760562,0.005848,0.004448
2,40,1,9,0,0,1,,8,L,0,S,10,0,0.772099,0
2,41,7,8,0,0,1,,1,S,0,S,17,0.028753,0.756026,0.021738
2,42,5,3,0,0,1,,2,S,0,S,14,0.756549,0.020786,0.015726
2,43,4,6,0,0,1,,2,S,0,S,15,0,0.799496,0
2,44,9,5,0,0,1,,4,S,0,S,12,0.757501,0.010888,0.008247
2,45,3,7,0,0,1,,4,S,0,S,12,0,0.79991,0
2,46,4,9,0,0,1,,5,S,0,S,12,0,0.790558,0
2,47,2,1,0,0,1,,1,S,0,S,14,0.778173,0.001462,0.001138
2,48,4,1,0,0,1,,3,S,0,S,12,0.796973,0,0
2,49,1,6,0,0,1,,5,S,0,S,11,0,0.781424,0
2,50,9,2,0,0,1,,7,L,0,S,11,0.805345,0,0
2,51,8,3,0,0,1,,5,S,0,S,12,0.78342,0,0
2,52,1,2,0,0,1,,1,S,0,S,15,0,0.795062,0
2,53,8,5,0,0,1,,3,S,0,S,13,0.755323,0.017038,0.012869
2,54,9,3,0,0,1,,6,S,0,S,11,0.760679,0.002215,0.001685
2,55,3,2,0,0,1,,1,S,0,S,16,0.762352,0.021138,0.016115
2,56,9,4,0,0,1,,5,S,0,S,12,0.796659,0,0
2,57,3,5,0,0,1,,2,S,0,S,13,0.012786,0.759686,0.009713
2,58,6,4,0,0,1,,2,S,0,S,13,0.752761,0.02116,0.015928
2,59,2,8,0,0,1,,6,S,0,S,11,0,0.793856,0
2,60,6,3,0,0,1,,3,S,0,S,13,0.794754,0,0
2,61,8,7,0,0,1,,1,S,0,S,19,0.772233,0.021928,0.016933
2,62,6,2,0,0,1,,4,S,0,S,11,0.75194,0.00645,0.00485
2,63,7,3,0,0,1,,4,S,0,S,12,0.780159,0,0
2,64,9,7,0,0,1,,2,S,0,S,15,0.78436,0.007067,0.005543
2,65,5,7,0,0,1,,2,S,0,S,14,0.010588,0.770926,0.008163
2,66,7,5,0,0,1,,2,S,0,S,13,0.750994,0.01879,0.014111
2,67,1,3,0,0,1,,2,S,0,S,12,0.007351,0.761418,0.005597
2,68,3,6,0,0,1,,3,S,0,S,12,0.01342,0.751306,0.010083
2,69,7,1,0,0,1,,6,S,0,S,10,0.753058,0,0
2,70,4,8,0,0,1,,4,S,0,S,12,0,0.776729,0
2,71,4,3,0,0,1,,1,S,0,S,17,0.787103,0.00667,0.00525
2,72,8,6,0,0,1,,2,S,0,S,15,0.789812,0,0
3,1,5,3,0,0,1,,2,S,0,S,14,0.784825,0,0
3,2,5,1,0,0,1,,4,S,0,S,11,0.762653,0,0
3,3,8,7,0,0,1,,1,S,0,S,17,0.764262,0.025278,0.019319
3,4,8,5,0,0,1,,3,S,0,S,13,0.775577,0.002179,0.00169
