ANN,Total,Error/TO,Incl,%,%,%,Congruent,Incongruent,SCE
,# Trials,# Trials,# Trials,Hits,Hits,Hits,,,I-C
,,,,C,I,C-I,,,
,,,,,,,Mean,Mean,Mean
1,144,12,132,98.611111,84.722222,13.888889,10.070423,12.836066,2.765643
2,144,9,135,100,87.5,12.5,9.958333,13.126984,3.168651
3,144,19,125,97.222222,76.388889,20.833333,9.957143,12.745455,2.788312
4,144,12,132,91.666667,91.666667,0,9.348485,11.909091,2.560606
5,144,5,139,100,93.055556,6.944444,9.986111,13.223881,3.237769
6,144,18,126,94.444444,80.555556,13.888889,9.823529,12.362069,2.53854
7,144,16,128,91.666667,86.111111,5.555556,9.530303,12.645161,3.114858
8,144,15,129,97.222222,81.944444,15.277778,10.257143,12.711864,2.454722
9,144,13,131,91.666667,90.277778,1.388889,9.727273,13.461538,3.734266
10,144,5,139,100,93.055556,6.944444,9.902778,13.791045,3.888267
11,144,13,131,97.222222,84.722222,12.5,9.857143,12.672131,2.814988
12,144,5,139,100,93.055556,6.944444,9.875,12.80597,2.93097
13,144,14,130,98.611111,81.944444,16.666667,9.802817,12.932203,3.129386
14,144,11,133,100,84.722222,15.277778,10.541667,13.491803,2.950137
15,144,13,131,100,81.944444,18.055556,10.208333,14.254237,4.045904
16,144,18,126,91.666667,83.333333,8.333333,9.848485,12.066667,2.218182
17,144,15,129,98.611111,80.555556,18.055556,10.309859,13.448276,3.138417
18,144,23,121,91.666667,76.388889,15.277778,10.121212,12.4,2.278788
19,144,17,127,98.611111,77.777778,20.833333,10.267606,12.75,2.482394
20,144,13,131,91.666667,90.277778,1.388889,10.075758,13.153846,3.078089
21,144,6,138,100,91.666667,8.333333,9.583333,12.636364,3.05303
22,144,7,137,98.611111,91.666667,6.944444,9.380282,13.106061,3.725779
23,144,23,121,95.833333,72.222222,23.611111,10.086957,12.019231,1.932274
24,144,6,138,100,91.666667,8.333333,9.972222,13.075758,3.103535
25,144,10,134,97.222222,88.888889,8.333333,9.542857,12.546875,3.004018
26,144,27,117,87.5,75,12.5,10.460317,12.314815,1.854497
27,144,5,139,100,93.055556,6.944444,9.486111,11.955224,2.469113
28,144,18,126,93.055556,81.944444,11.111111,9.985075,12.915254,2.93018
29,144,17,127,91.666667,84.722222,6.944444,10.106061,12.754098,2.648038
30,144,0,144,100,100,0,9.583333,13.444444,3.861111
TOTALS:,4320,385,3935,96.481481,85.694444,10.787037,9.921305,12.863317,2.942012
