ANN,Total,Error/TO,Incl,%,%,%,Congruent,Incongruent,SCE
,# Trials,# Trials,# Trials,Hits,Hits,Hits,,,I-C
,,,,C,I,C-I,,,
,,,,,,,Mean,Mean,Mean
1,144,12,132,100,83.333333,16.666667,9.138889,11.883333,2.744444
2,144,12,132,97.222222,86.111111,11.111111,9.185714,12.645161,3.459447
3,144,12,132,100,83.333333,16.666667,9.277778,11.933333,2.655556
4,144,1,143,100,98.611111,1.388889,9.208333,13.183099,3.974765
5,144,7,137,100,90.277778,9.722222,9.097222,12.707692,3.61047
6,144,0,144,100,100,0,8.819444,12.347222,3.527778
7,144,4,140,100,94.444444,5.555556,9.041667,12.676471,3.634804
8,144,18,126,91.666667,83.333333,8.333333,9.090909,11.683333,2.592424
9,144,12,132,97.222222,86.111111,11.111111,9.185714,12.080645,2.894931
10,144,5,139,100,93.055556,6.944444,9.222222,12.835821,3.613599
11,144,5,139,100,93.055556,6.944444,8.972222,12.313433,3.341211
12,144,10,134,100,86.111111,13.888889,8.875,11.33871,2.46371
13,144,5,139,100,93.055556,6.944444,9.138889,12.179104,3.040216
14,144,10,134,100,86.111111,13.888889,9,11.790323,2.790323
15,144,6,138,100,91.666667,8.333333,9.069444,12.363636,3.294192
16,144,5,139,100,93.055556,6.944444,9.055556,12.358209,3.302653
17,144,6,138,100,91.666667,8.333333,9.055556,12.166667,3.111111
18,144,5,139,100,93.055556,6.944444,9.305556,12.940299,3.634743
19,144,5,139,100,93.055556,6.944444,9.041667,12.029851,2.988184
20,144,7,137,98.611111,91.666667,6.944444,8.943662,11.954545,3.010883
21,144,4,140,100,94.444444,5.555556,9.291667,13.235294,3.943627
22,144,1,143,100,98.611111,1.388889,8.777778,12.605634,3.827856
23,144,9,135,100,87.5,12.5,8.875,12.174603,3.299603
24,144,8,136,100,88.888889,11.111111,8.916667,11.984375,3.067708
25,144,13,131,100,81.944444,18.055556,9.208333,11.881356,2.673023
26,144,8,136,100,88.888889,11.111111,9.194444,12.359375,3.164931
27,144,16,128,94.444444,83.333333,11.111111,9,11.4,2.4
28,144,6,138,98.611111,93.055556,5.555556,9.126761,12.402985,3.276225
29,144,12,132,100,83.333333,16.666667,9.083333,12.583333,3.5
30,144,10,134,100,86.111111,13.888889,9.347222,12.258065,2.910842
TOTALS:,4320,234,4086,99.259259,89.907407,9.351852,9.084888,12.291967,3.207079
