ANN,Total,Error/TO,Incl,%,%,%,Congruent,Incongruent,SCE
,# Trials,# Trials,# Trials,Hits,Hits,Hits,,,I-C
,,,,C,I,C-I,,,
,,,,,,,Mean,Mean,Mean
1,144,13,131,100,81.944444,18.055556,9.666667,11.915254,2.248588
2,144,6,138,100,91.666667,8.333333,9.486111,12.545455,3.059343
3,144,9,135,100,87.5,12.5,9.583333,12.396825,2.813492
4,144,3,141,100,95.833333,4.166667,9.402778,12.913043,3.510266
5,144,11,133,95.833333,88.888889,6.944444,9.115942,12.71875,3.602808
6,144,14,130,100,80.555556,19.444444,9.611111,12.534483,2.923372
7,144,20,124,91.666667,80.555556,11.111111,9.166667,12.086207,2.91954
8,144,7,137,100,90.277778,9.722222,9.486111,12.338462,2.85235
9,144,10,134,100,86.111111,13.888889,9.361111,12.306452,2.945341
10,144,10,134,100,86.111111,13.888889,9.458333,12.016129,2.557796
11,144,8,136,100,88.888889,11.111111,9.305556,12.71875,3.413194
12,144,13,131,98.611111,83.333333,15.277778,9.577465,11.966667,2.389202
13,144,13,131,100,81.944444,18.055556,9.430556,12.152542,2.721987
14,144,14,130,100,80.555556,19.444444,9.5,12.62069,3.12069
15,144,17,127,90.277778,86.111111,4.166667,8.907692,11.645161,2.737469
16,144,11,133,97.222222,87.5,9.722222,9.4,11.904762,2.504762
17,144,10,134,100,86.111111,13.888889,9.486111,11.467742,1.981631
18,144,7,137,100,90.277778,9.722222,9.291667,13.6,4.308333
19,144,9,135,100,87.5,12.5,9.263889,12.936508,3.672619
20,144,9,135,100,87.5,12.5,9.388889,11.888889,2.5
21,144,16,128,100,77.777778,22.222222,9.555556,12,2.444444
22,144,13,131,100,81.944444,18.055556,9.430556,12.779661,3.349105
23,144,12,132,98.611111,84.722222,13.888889,9.295775,11.622951,2.327176
24,144,4,140,100,94.444444,5.555556,9.708333,13.279412,3.571078
25,144,6,138,100,91.666667,8.333333,9.513889,12.909091,3.395202
26,144,5,139,100,93.055556,6.944444,9.416667,12.38806,2.971393
27,144,0,144,100,100,0,8.888889,12.555556,3.666667
28,144,7,137,100,90.277778,9.722222,9.527778,13.092308,3.56453
29,144,24,120,88.888889,77.777778,11.111111,8.953125,11.535714,2.582589
30,144,12,132,97.222222,86.111111,11.111111,9.314286,12.5,3.185714
TOTALS:,4320,313,4007,98.611111,86.898148,11.712963,9.387324,12.393713,3.006389
