ANN,Total,Error/TO,Incl,%,%,%,Congruent,Incongruent,SCE,Response,Response,Response
,# Trials,# Trials,# Trials,Hits,Hits,Hits,,,I-C,Conflict,Conflict,Conflict
,,,,C,I,C-I,,,,Cong,Incong,I-C
,,,,,,,Mean,Mean,Mean,Mean,Mean,Mean
1,16,2,14,100,75,25,7.75,12.5,4.75,0.174227,0.406756,0.232529
2,16,1,15,100,87.5,12.5,7.625,13.857143,6.232143,0.172972,0.416856,0.243884
3,16,1,15,100,87.5,12.5,7.625,13.714286,6.089286,0.167401,0.4201,0.252699
4,16,1,15,100,87.5,12.5,7.625,13.571429,5.946429,0.16959,0.417903,0.248313
5,16,2,14,100,75,25,7.75,12.666667,4.916667,0.1712,0.408309,0.237109
6,16,2,14,100,75,25,7.75,12.333333,4.583333,0.173572,0.402692,0.229121
7,16,1,15,100,87.5,12.5,7.75,13.571429,5.821429,0.169596,0.417917,0.248321
8,16,1,15,100,87.5,12.5,7.75,14.285714,6.535714,0.17246,0.424608,0.252148
9,16,2,14,100,75,25,7.75,12.333333,4.583333,0.170535,0.407068,0.236534
10,16,2,14,100,75,25,7.75,12.5,4.75,0.172154,0.40768,0.235526
11,16,2,14,100,75,25,7.75,12.666667,4.916667,0.175781,0.405013,0.229232
12,16,2,14,100,75,25,7.75,12.833333,5.083333,0.174932,0.408194,0.233262
13,16,1,15,100,87.5,12.5,7.625,13.714286,6.089286,0.171082,0.415844,0.244762
14,16,2,14,100,75,25,7.75,12.5,4.75,0.176021,0.406226,0.230205
15,16,2,14,100,75,25,7.75,12.833333,5.083333,0.170007,0.415049,0.245041
16,16,2,14,100,75,25,7.75,12.666667,4.916667,0.174855,0.406786,0.231931
17,16,2,14,100,75,25,7.75,13.166667,5.416667,0.173243,0.416648,0.243405
18,16,0,16,100,100,0,7.75,14.75,7,0.169507,0.424369,0.254862
19,16,2,14,100,75,25,7.75,12.833333,5.083333,0.175153,0.40856,0.233407
20,16,1,15,100,87.5,12.5,7.75,14.285714,6.535714,0.175371,0.417579,0.242209
21,16,2,14,100,75,25,7.75,12.5,4.75,0.173272,0.40558,0.232308
22,16,2,14,100,75,25,7.75,12.833333,5.083333,0.175678,0.40678,0.231102
23,16,1,15,100,87.5,12.5,7.75,14,6.25,0.173022,0.420958,0.247935
24,16,2,14,100,75,25,7.75,12.833333,5.083333,0.17582,0.411235,0.235415
25,16,1,15,100,87.5,12.5,7.75,14,6.25,0.171509,0.417958,0.246449
26,16,2,14,100,75,25,7.75,12.666667,4.916667,0.173139,0.407483,0.234344
27,16,2,14,100,75,25,7.75,13,5.25,0.172074,0.416293,0.244219
28,16,2,14,100,75,25,7.75,12.333333,4.583333,0.170302,0.405851,0.235549
29,16,2,14,100,75,25,7.75,12.666667,4.916667,0.173341,0.405894,0.232553
30,16,2,14,100,75,25,7.75,12.166667,4.416667,0.170614,0.402114,0.2315
TOTALS:,480,49,431,100,79.583333,20.416667,7.733333,13.141361,5.408028,0.172614,0.412274,0.239659
