ANN,trial,N1,N2,P1,P2,Succ.,Cong,Ndist,Ndist,Pdist,Pdist,rt,a1,a2,x_acc
28,7,2,1,8,2,1,C,1,S,6,S,8,0.827985,0.21723,0.179863
28,8,1,8,8,2,1,I,7,L,6,S,10,0.477178,0.760752,0.363014
28,9,8,1,8,2,1,C,7,L,6,S,7,0.853688,0.155643,0.132871
28,10,9,2,8,2,1,C,7,L,6,S,7,0.816513,0.181024,0.147808
28,11,2,9,2,8,1,C,7,L,6,S,7,0.17088,0.828887,0.14164
28,12,2,1,2,8,1,I,1,S,6,S,16,0.765514,0.604169,0.4625
28,13,9,8,8,2,1,C,1,S,6,S,9,0.812283,0.278799,0.226464
28,14,8,9,8,2,0,I,1,S,6,S,12,0.750762,0.476571,0.357791
28,15,1,2,8,2,1,I,1,S,6,S,16,0.60862,0.761098,0.46322
28,16,9,2,2,8,1,I,7,L,6,S,11,0.758173,0.517609,0.392437
29,1,9,8,2,8,0,I,1,S,6,S,10,0.376548,0.754173,0.283983
29,2,8,1,8,2,1,C,7,L,6,S,7,0.867299,0.145088,0.125835
29,3,1,8,8,2,1,I,7,L,6,S,10,0.465993,0.774048,0.360701
29,4,8,9,2,8,1,C,1,S,6,S,9,0.315795,0.768534,0.2427
29,5,1,2,8,2,1,I,1,S,6,S,18,0.625895,0.755507,0.472868
29,6,9,2,8,2,1,C,7,L,6,S,7,0.841351,0.161645,0.136
29,7,2,9,2,8,1,C,7,L,6,S,7,0.166498,0.839338,0.139748
29,8,9,8,8,2,1,C,1,S,6,S,9,0.773909,0.304961,0.236012
29,9,2,1,8,2,1,C,1,S,6,S,8,0.813731,0.225083,0.183157
29,10,8,1,2,8,1,I,7,L,6,S,10,0.776325,0.465433,0.361328
29,11,9,2,2,8,1,I,7,L,6,S,11,0.787499,0.494053,0.389066
29,12,1,8,2,8,1,C,7,L,6,S,7,0.147747,0.866118,0.127966
29,13,1,2,2,8,1,C,1,S,6,S,8,0.24952,0.782739,0.195309
29,14,2,1,2,8,1,I,1,S,6,S,16,0.751844,0.614234,0.461808
29,15,2,9,8,2,1,I,7,L,6,S,11,0.496252,0.785068,0.389591
29,16,8,9,8,2,0,I,1,S,6,S,10,0.76648,0.365844,0.280412
30,1,9,2,8,2,1,C,7,L,6,S,7,0.819393,0.175298,0.143638
30,2,2,1,8,2,1,C,1,S,6,S,8,0.833263,0.212541,0.177102
30,3,8,9,8,2,0,I,1,S,6,S,12,0.764499,0.452619,0.346027
30,4,8,9,2,8,1,C,1,S,6,S,9,0.281902,0.801704,0.226002
30,5,9,8,2,8,0,I,1,S,6,S,11,0.399628,0.780261,0.311814
30,6,1,8,2,8,1,C,7,L,6,S,7,0.150651,0.861694,0.129815
30,7,1,8,8,2,1,I,7,L,6,S,10,0.467906,0.771032,0.36077
30,8,8,1,2,8,1,I,7,L,6,S,10,0.765418,0.472269,0.361483
30,9,2,9,2,8,1,C,7,L,6,S,7,0.178704,0.816463,0.145905
30,10,8,1,8,2,1,C,7,L,6,S,7,0.855419,0.15277,0.130683
30,11,2,9,8,2,1,I,7,L,6,S,11,0.510421,0.76149,0.38868
30,12,1,2,2,8,1,C,1,S,6,S,8,0.21074,0.832019,0.17534
30,13,9,8,8,2,1,C,1,S,6,S,9,0.784352,0.301434,0.23643
30,14,2,1,2,8,1,I,1,S,6,S,15,0.753532,0.602256,0.453819
30,15,9,2,2,8,1,I,7,L,6,S,11,0.765543,0.508483,0.389266
30,16,1,2,8,2,1,I,1,S,6,S,16,0.594893,0.771006,0.458666
