ANN,Total,Error/TO,Incl,%,%,%,Congruent,Incongruent,SCE,Response,Response,Response
,# Trials,# Trials,# Trials,Hits,Hits,Hits,,,I-C,Conflict,Conflict,Conflict
,,,,C,I,C-I,,,,Cong,Incong,I-C
,,,,,,,Mean,Mean,Mean,Mean,Mean,Mean
1,16,2,14,100,75,25,7.75,12.166667,4.416667,0.179489,0.411952,0.232464
2,16,1,15,100,87.5,12.5,7.625,13.285714,5.660714,0.178169,0.418183,0.240014
3,16,1,15,100,87.5,12.5,7.625,13.285714,5.660714,0.172478,0.428595,0.256117
4,16,1,15,100,87.5,12.5,7.625,13,5.375,0.174701,0.42232,0.247619
5,16,2,14,100,75,25,7.75,12.5,4.75,0.176404,0.417764,0.24136
6,16,2,14,100,75,25,7.75,12.166667,4.416667,0.178814,0.41201,0.233197
7,16,1,15,100,87.5,12.5,7.625,13.142857,5.517857,0.174376,0.423586,0.24921
8,16,2,14,100,75,25,7.75,12.666667,4.916667,0.177709,0.41945,0.241741
9,16,2,14,100,75,25,7.75,12.166667,4.416667,0.17571,0.416151,0.240441
10,16,2,14,100,75,25,7.75,12.166667,4.416667,0.177373,0.412243,0.234871
11,16,2,14,100,75,25,7.75,12.166667,4.416667,0.1811,0.408607,0.227507
12,16,2,14,100,75,25,7.75,12.5,4.75,0.18022,0.413397,0.233177
13,16,1,15,100,87.5,12.5,7.625,13.142857,5.517857,0.176223,0.420596,0.244373
14,16,2,14,100,75,25,7.75,12,4.25,0.181335,0.409549,0.228214
15,16,2,14,100,75,25,7.75,12.333333,4.583333,0.175205,0.418961,0.243756
16,16,2,14,100,75,25,7.75,12.333333,4.583333,0.180152,0.415005,0.234853
17,16,2,14,100,75,25,7.75,12.5,4.75,0.178526,0.416736,0.238211
18,16,1,15,100,87.5,12.5,7.625,13.285714,5.660714,0.174414,0.421124,0.24671
19,16,2,14,100,75,25,7.75,12.5,4.75,0.180463,0.417168,0.236705
20,16,2,14,100,75,25,7.75,12.333333,4.583333,0.180649,0.406087,0.225438
21,16,2,14,100,75,25,7.75,12.166667,4.416667,0.178539,0.413465,0.234927
22,16,2,14,100,75,25,7.75,12.333333,4.583333,0.180991,0.410803,0.229812
23,16,1,15,100,87.5,12.5,7.625,13.571429,5.946429,0.177839,0.426963,0.249124
24,16,2,14,100,75,25,7.75,12.666667,4.916667,0.181166,0.421058,0.239892
25,16,2,14,100,75,25,7.75,12.333333,4.583333,0.176716,0.414912,0.238196
26,16,2,14,100,75,25,7.75,12.333333,4.583333,0.178374,0.415673,0.237299
27,16,2,14,100,75,25,7.75,12.5,4.75,0.177328,0.420645,0.243318
28,16,2,14,100,75,25,7.75,12,4.25,0.175472,0.413414,0.237943
29,16,2,14,100,75,25,7.75,12.166667,4.416667,0.17857,0.406504,0.227934
30,16,2,14,100,75,25,7.75,12,4.25,0.175774,0.411094,0.235321
TOTALS:,480,53,427,100,77.916667,22.083333,7.720833,12.550802,4.829969,0.177809,0.416393,0.238584
