ANN,Total,Error/TO,Incl,%,%,%,Congruent,Incongruent,SCE,Response,Response,Response
,# Trials,# Trials,# Trials,Hits,Hits,Hits,,,I-C,Conflict,Conflict,Conflict
,,,,C,I,C-I,,,,Cong,Incong,I-C
,,,,,,,Mean,Mean,Mean,Mean,Mean,Mean
1,144,14,130,98.611111,81.944444,16.666667,9.901408,12.847458,2.946049,0.263652,0.377116,0.113465
2,144,10,134,98.611111,87.5,11.111111,10.056338,14.380952,4.324614,0.268302,0.404868,0.136566
3,144,4,140,100,94.444444,5.555556,9.680556,14.426471,4.745915,0.257487,0.402629,0.145142
4,144,17,127,91.666667,84.722222,6.944444,9.681818,13.688525,4.006706,0.258954,0.387639,0.128685
5,144,8,136,100,88.888889,11.111111,9.888889,13.90625,4.017361,0.264124,0.395488,0.131364
6,144,14,130,100,80.555556,19.444444,9.638889,12.310345,2.671456,0.257224,0.365709,0.108485
7,144,13,131,100,81.944444,18.055556,10.208333,13.661017,3.452684,0.268759,0.390564,0.121805
8,144,14,130,98.611111,81.944444,16.666667,10.126761,13.644068,3.517307,0.270579,0.388448,0.117869
9,144,15,129,97.222222,81.944444,15.277778,9.6,12.898305,3.298305,0.260599,0.385642,0.125043
10,144,9,135,100,87.5,12.5,9.347222,14.111111,4.763889,0.250743,0.409877,0.159134
11,144,18,126,98.611111,76.388889,22.222222,9.915493,13.963636,4.048143,0.264237,0.402794,0.138557
12,144,11,133,100,84.722222,15.277778,9.986111,13.786885,3.800774,0.264098,0.398265,0.134167
13,144,15,129,100,79.166667,20.833333,9.930556,13.350877,3.420322,0.262382,0.387253,0.12487
14,144,16,128,91.666667,86.111111,5.555556,9.454545,13.290323,3.835777,0.253002,0.391009,0.138007
15,144,6,138,100,91.666667,8.333333,9.625,13.136364,3.511364,0.257062,0.379682,0.12262
16,144,17,127,94.444444,81.944444,12.5,9.676471,12.915254,3.238784,0.259451,0.376129,0.116677
17,144,6,138,100,91.666667,8.333333,9.805556,13.69697,3.891414,0.26051,0.398198,0.137688
18,144,11,133,98.611111,86.111111,12.5,9.619718,13.451613,3.831895,0.255953,0.399107,0.143153
19,144,7,137,100,90.277778,9.722222,9.847222,14.261538,4.414316,0.260744,0.39772,0.136976
20,144,7,137,100,90.277778,9.722222,9.819444,13.953846,4.134402,0.260497,0.395995,0.135498
21,144,11,133,100,84.722222,15.277778,9.944444,13.114754,3.17031,0.262428,0.385993,0.123564
22,144,9,135,97.222222,90.277778,6.944444,9.828571,13.676923,3.848352,0.264215,0.388029,0.123814
23,144,15,129,91.666667,87.5,4.166667,9.742424,13.428571,3.686147,0.261435,0.388023,0.126589
24,144,13,131,95.833333,86.111111,9.722222,9.42029,12.064516,2.644226,0.253457,0.363904,0.110447
25,144,13,131,100,81.944444,18.055556,9.569444,14.186441,4.616996,0.255396,0.405148,0.149752
26,144,18,126,94.444444,80.555556,13.888889,9.764706,12.965517,3.200811,0.260449,0.383963,0.123514
27,144,20,124,88.888889,83.333333,5.555556,9.703125,13.45,3.746875,0.260743,0.389803,0.12906
28,144,15,129,98.611111,80.555556,18.055556,9.690141,13.948276,4.258135,0.259979,0.40888,0.1489
29,144,17,127,91.666667,84.722222,6.944444,9.924242,14.245902,4.321659,0.266743,0.408039,0.141296
30,144,18,126,98.611111,76.388889,22.222222,9.873239,12.963636,3.090397,0.263893,0.38406,0.120167
TOTALS:,4320,381,3939,97.5,84.861111,12.638889,9.777303,13.535188,3.757885,0.260916,0.391455,0.13054
