ANN,Total,Error/TO,Incl,%,%,%,Congruent,Incongruent,SCE,Response,Response,Response
,# Trials,# Trials,# Trials,Hits,Hits,Hits,,,I-C,Conflict,Conflict,Conflict
,,,,C,I,C-I,,,,Cong,Incong,I-C
,,,,,,,Mean,Mean,Mean,Mean,Mean,Mean
1,144,13,131,100,81.944444,18.055556,9.763889,12.779661,3.015772,0.258069,0.380198,0.122128
2,144,8,136,100,88.888889,11.111111,9.597222,13.234375,3.637153,0.258398,0.39341,0.135012
3,144,10,134,100,86.111111,13.888889,9.777778,13.209677,3.4319,0.255915,0.386714,0.130798
4,144,3,141,100,95.833333,4.166667,9.513889,13.898551,4.384662,0.253526,0.389434,0.135908
5,144,13,131,97.222222,84.722222,12.5,9.285714,13.245902,3.960187,0.248829,0.389088,0.140259
6,144,14,130,100,80.555556,19.444444,9.763889,13.293103,3.529215,0.260769,0.388081,0.127312
7,144,20,124,91.666667,80.555556,11.111111,9.287879,12.931034,3.643156,0.246692,0.384309,0.137617
8,144,8,136,100,88.888889,11.111111,9.652778,12.984375,3.331597,0.25375,0.377301,0.123551
9,144,12,132,100,83.333333,16.666667,9.444444,12.783333,3.338889,0.250392,0.380666,0.130275
10,144,12,132,100,83.333333,16.666667,9.555556,12.633333,3.077778,0.253596,0.375739,0.122143
11,144,9,135,100,87.5,12.5,9.430556,13.571429,4.140873,0.254387,0.399058,0.144672
12,144,15,129,98.611111,80.555556,18.055556,9.647887,12.37931,2.731423,0.257214,0.369779,0.112565
13,144,13,131,100,81.944444,18.055556,9.513889,13.016949,3.50306,0.251207,0.387701,0.136494
14,144,18,126,100,75,25,9.597222,12.925926,3.328704,0.253851,0.388422,0.134571
15,144,17,127,90.277778,86.111111,4.166667,9.030769,12.451613,3.420844,0.244438,0.371971,0.127533
16,144,12,132,97.222222,86.111111,11.111111,9.6,12.612903,3.012903,0.257647,0.377158,0.119511
17,144,10,134,100,86.111111,13.888889,9.611111,12.258065,2.646953,0.25193,0.361497,0.109567
18,144,9,135,100,87.5,12.5,9.375,14.460317,5.085317,0.250925,0.4176,0.166676
19,144,12,132,100,83.333333,16.666667,9.361111,13.516667,4.155556,0.248866,0.399716,0.150851
20,144,10,134,100,86.111111,13.888889,9.5,12.580645,3.080645,0.25251,0.373598,0.121088
21,144,16,128,100,77.777778,22.222222,9.652778,12.892857,3.240079,0.254877,0.380018,0.125141
22,144,13,131,100,81.944444,18.055556,9.555556,13.728814,4.173258,0.253831,0.400077,0.146246
23,144,12,132,98.611111,84.722222,13.888889,9.352113,12.52459,3.172477,0.247796,0.378689,0.130893
24,144,6,138,100,91.666667,8.333333,9.888889,14.015152,4.126263,0.260264,0.391244,0.13098
25,144,8,136,100,88.888889,11.111111,9.611111,13.609375,3.998264,0.256414,0.396778,0.140363
26,144,5,139,100,93.055556,6.944444,9.541667,13.343284,3.801617,0.255945,0.385907,0.129962
27,144,2,142,100,97.222222,2.777778,9,13.214286,4.214286,0.238655,0.394351,0.155696
28,144,10,134,100,86.111111,13.888889,9.597222,13.806452,4.209229,0.255475,0.401708,0.146233
29,144,24,120,88.888889,77.777778,11.111111,9.046875,12.357143,3.310268,0.241706,0.382317,0.140611
30,144,12,132,97.222222,86.111111,11.111111,9.371429,13.5,4.128571,0.253175,0.394649,0.141474
TOTALS:,4320,346,3974,98.657407,85.324074,13.333333,9.501642,13.138904,3.637262,0.252786,0.386716,0.133931
