ANN,Total,Error/TO,Incl,%,%,%,Congruent,Incongruent,SCE,Response,Response,Response
,# Trials,# Trials,# Trials,Hits,Hits,Hits,,,I-C,Conflict,Conflict,Conflict
,,,,C,I,C-I,,,,Cong,Incong,I-C
,,,,,,,Mean,Mean,Mean,Mean,Mean,Mean
1,144,13,131,100,81.944444,18.055556,9.527778,12.610169,3.082392,0.254569,0.376449,0.12188
2,144,7,137,100,90.277778,9.722222,9.402778,13.876923,4.474145,0.250853,0.400551,0.149699
3,144,6,138,100,91.666667,8.333333,9.680556,13.954545,4.27399,0.256071,0.400268,0.144198
4,144,6,138,100,91.666667,8.333333,9.458333,13.606061,4.147727,0.252063,0.399139,0.147077
5,144,5,139,100,93.055556,6.944444,9.180556,13.208955,4.0284,0.246156,0.396324,0.150168
6,144,1,143,100,98.611111,1.388889,9.541667,14.042254,4.500587,0.255305,0.400493,0.145188
7,144,6,138,100,91.666667,8.333333,9.583333,13.348485,3.765152,0.256366,0.391942,0.135576
8,144,10,134,100,86.111111,13.888889,9.791667,13.725806,3.93414,0.259588,0.389848,0.13026
9,144,11,133,100,84.722222,15.277778,9.680556,14.442623,4.762067,0.260253,0.415586,0.155334
10,144,13,131,98.611111,83.333333,15.277778,9.112676,12.566667,3.453991,0.24427,0.388688,0.144417
11,144,17,127,97.222222,79.166667,18.055556,9.585714,12.789474,3.203759,0.257659,0.382314,0.124655
12,144,16,128,100,77.777778,22.222222,9.708333,13.125,3.416667,0.255999,0.386866,0.130867
13,144,13,131,100,81.944444,18.055556,9.708333,12.932203,3.22387,0.255954,0.370061,0.114107
14,144,6,138,98.611111,93.055556,5.555556,9.56338,13.701493,4.138112,0.259297,0.394492,0.135195
15,144,16,128,97.222222,80.555556,16.666667,9.585714,13.310345,3.724631,0.255461,0.396211,0.14075
16,144,8,136,100,88.888889,11.111111,9.375,13.234375,3.859375,0.249898,0.384296,0.134398
17,144,9,135,100,87.5,12.5,9.388889,13.698413,4.309524,0.249901,0.400518,0.150617
18,144,16,128,91.666667,86.111111,5.555556,9.242424,12.532258,3.289834,0.247629,0.37488,0.127252
19,144,12,132,100,83.333333,16.666667,9.486111,12.983333,3.497222,0.250378,0.385644,0.135266
20,144,15,129,100,79.166667,20.833333,9.527778,12.947368,3.419591,0.252812,0.388347,0.135535
21,144,12,132,98.611111,84.722222,13.888889,9.422535,13.098361,3.675825,0.251409,0.390198,0.138789
22,144,5,139,100,93.055556,6.944444,9.472222,14.074627,4.602405,0.251723,0.400831,0.149108
23,144,5,139,100,93.055556,6.944444,9.763889,14.044776,4.280887,0.261622,0.402267,0.140646
24,144,16,128,97.222222,80.555556,16.666667,9.257143,13.310345,4.053202,0.2477,0.396446,0.148746
25,144,5,139,100,93.055556,6.944444,9,12.761194,3.761194,0.23804,0.381196,0.143156
26,144,13,131,98.611111,83.333333,15.277778,10.084507,13.7,3.615493,0.267885,0.393098,0.125213
27,144,10,134,100,86.111111,13.888889,9.5,12.532258,3.032258,0.249151,0.367825,0.118673
28,144,15,129,100,79.166667,20.833333,9.611111,13.035088,3.423977,0.253745,0.387257,0.133513
29,144,11,133,98.611111,86.111111,12.5,9.450704,13.741935,4.291231,0.255459,0.4003,0.144841
30,144,16,128,91.666667,86.111111,5.555556,9.121212,13.322581,4.201369,0.240462,0.388355,0.147893
TOTALS:,4320,314,4006,98.935185,86.527778,12.407407,9.495555,13.35741,3.861856,0.252964,0.391256,0.138292
