ANN,Total,Error/TO,Incl,%,%,%,Congruent,Incongruent,SCE,Response,Response,Response
,# Trials,# Trials,# Trials,Hits,Hits,Hits,,,I-C,Conflict,Conflict,Conflict
,,,,C,I,C-I,,,,Cong,Incong,I-C
,,,,,,,Mean,Mean,Mean,Mean,Mean,Mean
1,144,12,132,100,83.333333,16.666667,9.847222,12.933333,3.086111,0.262147,0.373505,0.111358
2,144,6,138,100,91.666667,8.333333,9.75,13.136364,3.386364,0.256258,0.377191,0.120933
3,144,23,121,100,68.055556,31.944444,9.763889,11.734694,1.970805,0.258782,0.366773,0.107991
4,144,9,135,100,87.5,12.5,9.666667,13.571429,3.904762,0.254632,0.391584,0.136952
5,144,6,138,100,91.666667,8.333333,9.222222,13.621212,4.39899,0.246965,0.396226,0.149261
6,144,9,135,100,87.5,12.5,9.972222,13.904762,3.93254,0.266155,0.400053,0.133898
7,144,6,138,100,91.666667,8.333333,9.638889,13.469697,3.830808,0.25539,0.387863,0.132474
8,144,6,138,100,91.666667,8.333333,9.527778,13.530303,4.002525,0.256189,0.390502,0.134313
9,144,6,138,100,91.666667,8.333333,9.347222,13.060606,3.713384,0.246391,0.399031,0.15264
10,144,15,129,91.666667,87.5,4.166667,9.515152,13.190476,3.675325,0.254644,0.382177,0.127534
11,144,20,124,97.222222,75,22.222222,9.371429,13.907407,4.535979,0.253684,0.415388,0.161704
12,144,11,133,100,84.722222,15.277778,9.527778,13.032787,3.505009,0.250101,0.391112,0.141011
13,144,11,133,100,84.722222,15.277778,9.972222,13.934426,3.962204,0.265477,0.396978,0.131501
14,144,2,142,100,97.222222,2.777778,9.861111,13.8,3.938889,0.260835,0.384368,0.123533
15,144,15,129,100,79.166667,20.833333,9.472222,12.789474,3.317251,0.250867,0.385225,0.134359
16,144,17,127,97.222222,79.166667,18.055556,9.842857,13.22807,3.385213,0.263506,0.38849,0.124984
17,144,8,136,97.222222,91.666667,5.555556,9.728571,13.5,3.771429,0.263551,0.387186,0.123635
18,144,13,131,100,81.944444,18.055556,10.013889,14.559322,4.545433,0.265926,0.416298,0.150372
19,144,14,130,100,80.555556,19.444444,9.569444,13.827586,4.258142,0.254875,0.402761,0.147886
20,144,12,132,100,83.333333,16.666667,9.805556,13.766667,3.961111,0.263131,0.395807,0.132675
21,144,10,134,100,86.111111,13.888889,9.888889,13.645161,3.756272,0.259675,0.398789,0.139114
22,144,11,133,100,84.722222,15.277778,9.944444,13.52459,3.580146,0.264363,0.393007,0.128645
23,144,8,136,97.222222,91.666667,5.555556,9.814286,14.090909,4.276623,0.264214,0.403139,0.138926
24,144,9,135,100,87.5,12.5,9.583333,13.206349,3.623016,0.252862,0.391201,0.138338
25,144,0,144,100,100,0,9.444444,13.305556,3.861111,0.252967,0.383251,0.130284
26,144,17,127,100,76.388889,23.611111,9.583333,13.036364,3.45303,0.255067,0.387752,0.132685
27,144,5,139,100,93.055556,6.944444,9.25,14.059701,4.809701,0.247335,0.411317,0.163983
28,144,5,139,100,93.055556,6.944444,9.111111,13.373134,4.262023,0.241916,0.399813,0.157898
29,144,5,139,100,93.055556,6.944444,9.597222,13.402985,3.805763,0.254038,0.388464,0.134426
30,144,12,132,97.222222,86.111111,11.111111,9.442857,12.919355,3.476498,0.254589,0.385241,0.130652
TOTALS:,4320,303,4017,99.259259,86.712963,12.546296,9.636194,13.449546,3.813352,0.256541,0.392393,0.135852
