ANN,trial,N1,N2,P1,P2,Succ.,Cong,Ndist,Ndist,Pdist,Pdist,rt,a1,a2,x_acc
1,1,2,1,1,2,1,I,1,S,1,S,13,0.776615,0.492696,0.382635
1,2,8,1,8,9,1,I,7,L,1,S,10,0.763236,0.392408,0.2995
1,3,2,9,8,2,1,I,7,L,6,S,14,0.542595,0.759901,0.412318
1,4,2,9,2,9,1,C,7,L,7,L,10,0.311815,0.833424,0.259874
1,5,2,9,9,2,1,I,7,L,7,L,16,0.617994,0.750464,0.463783
1,6,8,2,1,2,1,I,6,S,1,S,12,0.777789,0.463556,0.360549
1,7,9,1,2,8,1,I,8,L,6,S,10,0.753999,0.432584,0.326168
1,8,2,8,9,2,1,I,6,S,7,L,14,0.57652,0.759657,0.437957
1,9,2,1,9,1,1,C,1,S,8,L,9,0.817497,0.291585,0.23837
1,10,2,1,2,9,1,I,1,S,7,L,14,0.755099,0.563522,0.425515
1,11,2,8,2,9,1,C,6,S,7,L,9,0.311139,0.787988,0.245173
1,12,1,8,8,9,1,C,7,L,1,S,9,0.329149,0.771888,0.254066
1,13,1,8,1,8,1,C,7,L,7,L,8,0.290708,0.755992,0.219773
1,14,8,9,8,2,0,I,1,S,6,S,13,0.755338,0.456288,0.344652
1,15,8,1,2,1,1,C,7,L,1,S,9,0.771083,0.327224,0.252317
1,16,2,8,9,8,1,I,6,S,1,S,12,0.462626,0.774754,0.358421
1,17,2,1,1,9,1,I,1,S,8,L,15,0.752441,0.600365,0.45174
1,18,2,9,9,1,1,I,7,L,8,L,17,0.627287,0.760206,0.476867
1,19,2,1,8,2,1,C,1,S,6,S,10,0.821762,0.322798,0.265263
1,20,9,1,1,8,1,I,8,L,7,L,11,0.768359,0.481857,0.37024
1,21,1,8,8,2,1,I,7,L,6,S,11,0.440174,0.779173,0.342972
1,22,8,9,1,8,1,C,1,S,7,L,11,0.387031,0.781734,0.302555
1,23,1,2,2,8,1,C,1,S,6,S,12,0.38862,0.806515,0.313428
1,24,1,8,2,9,1,C,7,L,7,L,9,0.276101,0.837634,0.231272
1,25,2,9,2,8,1,C,7,L,6,S,10,0.3154,0.82623,0.260593
1,26,9,8,2,8,0,I,1,S,6,S,15,0.528321,0.75147,0.397018
1,27,8,9,9,1,0,I,1,S,8,L,11,0.78432,0.394452,0.309376
1,28,9,1,8,9,1,I,8,L,1,S,9,0.750334,0.365152,0.273986
1,29,1,9,1,2,1,C,8,L,1,S,9,0.336717,0.757845,0.255179
1,30,8,1,9,1,1,C,7,L,8,L,8,0.776037,0.277975,0.215719
