ANN,Total,Error/TO,Incl,%,%,%,Congruent,Incongruent,SCE,Response,Response,Response
,# Trials,# Trials,# Trials,Hits,Hits,Hits,,,I-C,Conflict,Conflict,Conflict
,,,,C,I,C-I,,,,Cong,Incong,I-C
,,,,,,,Mean,Mean,Mean,Mean,Mean,Mean
1,144,13,131,100,81.944444,18.055556,9.222222,12.542373,3.320151,0.245036,0.380079,0.135043
2,144,16,128,97.222222,80.555556,16.666667,9.2,13.017241,3.817241,0.244242,0.386355,0.142112
3,144,13,131,100,81.944444,18.055556,9.319444,12.830508,3.511064,0.246361,0.387212,0.140851
4,144,6,138,100,91.666667,8.333333,9.291667,13.666667,4.375,0.246265,0.393942,0.147677
5,144,8,136,100,88.888889,11.111111,9.194444,13.625,4.430556,0.244944,0.397021,0.152077
6,144,2,142,100,97.222222,2.777778,8.875,13.028571,4.153571,0.234724,0.385211,0.150487
7,144,6,138,100,91.666667,8.333333,9.152778,13.424242,4.271465,0.243699,0.393824,0.150125
8,144,18,126,91.666667,83.333333,8.333333,9.242424,12.533333,3.290909,0.243725,0.377872,0.134147
9,144,15,129,97.222222,81.944444,15.277778,9.285714,12.508475,3.22276,0.246977,0.378134,0.131157
10,144,9,135,100,87.5,12.5,9.277778,13.365079,4.087302,0.246279,0.386953,0.140674
11,144,9,135,100,87.5,12.5,9.055556,12.730159,3.674603,0.234905,0.381988,0.147082
12,144,11,133,100,84.722222,15.277778,8.958333,12.016393,3.05806,0.234151,0.372717,0.138566
13,144,8,136,100,88.888889,11.111111,9.236111,12.6875,3.451389,0.246838,0.384958,0.138119
14,144,10,134,100,86.111111,13.888889,9.055556,12.83871,3.783154,0.235405,0.38675,0.151345
15,144,8,136,100,88.888889,11.111111,9.138889,13,3.861111,0.240692,0.392014,0.151322
16,144,6,138,100,91.666667,8.333333,9.166667,13.166667,4,0.242383,0.385524,0.143141
17,144,7,137,100,90.277778,9.722222,9.111111,13,3.888889,0.24229,0.392915,0.150625
18,144,6,138,100,91.666667,8.333333,9.375,13.818182,4.443182,0.250899,0.399507,0.148609
19,144,5,139,100,93.055556,6.944444,9.083333,12.970149,3.886816,0.238355,0.388388,0.150033
20,144,9,135,98.611111,88.888889,9.722222,9,12.53125,3.53125,0.237938,0.381863,0.143925
21,144,5,139,100,93.055556,6.944444,9.333333,14.208955,4.875622,0.249939,0.404424,0.154485
22,144,3,141,100,95.833333,4.166667,8.902778,13.42029,4.517512,0.233816,0.391449,0.157633
23,144,10,134,100,86.111111,13.888889,8.958333,13.016129,4.057796,0.236126,0.392517,0.15639
24,144,9,135,100,87.5,12.5,8.986111,12.809524,3.823413,0.236263,0.388836,0.152573
25,144,14,130,100,80.555556,19.444444,9.25,12.672414,3.422414,0.243764,0.381007,0.137244
26,144,9,135,100,87.5,12.5,9.263889,13.15873,3.894841,0.243765,0.392436,0.148671
27,144,16,128,94.444444,83.333333,11.111111,9.073529,12.233333,3.159804,0.243522,0.376798,0.133276
28,144,8,136,98.611111,90.277778,8.333333,9.239437,13.046154,3.806717,0.246882,0.384359,0.137477
29,144,14,130,100,80.555556,19.444444,9.152778,13.396552,4.243774,0.242094,0.401371,0.159277
30,144,10,134,100,86.111111,13.888889,9.444444,13.258065,3.81362,0.248532,0.392784,0.144251
TOTALS:,4320,283,4037,99.259259,87.638889,11.62037,9.161381,13.029583,3.868202,0.242348,0.388119,0.14577
