ANN,Total,Error/TO,Incl,%,%,%,Congruent,Incongruent,SCE,Response,Response,Response
,# Trials,# Trials,# Trials,Hits,Hits,Hits,,,I-C,Conflict,Conflict,Conflict
,,,,C,I,C-I,,,,Cong,Incong,I-C
,,,,,,,Mean,Mean,Mean,Mean,Mean,Mean
1,144,8,136,100,88.888889,11.111111,7.652778,11.40625,3.753472,0.177219,0.372246,0.195027
2,144,6,138,100,91.666667,8.333333,7.652778,11.712121,4.059343,0.175968,0.375956,0.199988
3,144,5,139,100,93.055556,6.944444,7.666667,11.80597,4.139303,0.173621,0.380474,0.206853
4,144,5,139,100,93.055556,6.944444,7.472222,11.820896,4.348673,0.170331,0.386908,0.216577
5,144,8,136,100,88.888889,11.111111,7.694444,11.5,3.805556,0.17645,0.373271,0.196821
6,144,9,135,100,87.5,12.5,7.611111,11.492063,3.880952,0.174274,0.380232,0.205958
7,144,8,136,100,88.888889,11.111111,7.555556,11.328125,3.772569,0.174122,0.375659,0.201537
8,144,8,136,100,88.888889,11.111111,7.75,11.640625,3.890625,0.177172,0.376856,0.199684
9,144,8,136,100,88.888889,11.111111,7.625,11.390625,3.765625,0.1745,0.373542,0.199042
10,144,9,135,100,87.5,12.5,7.694444,11.111111,3.416667,0.177402,0.367605,0.190203
11,144,8,136,100,88.888889,11.111111,7.736111,11.609375,3.873264,0.177575,0.374306,0.196731
12,144,10,134,100,86.111111,13.888889,7.75,11.306452,3.556452,0.177652,0.370422,0.192769
13,144,5,139,100,93.055556,6.944444,7.583333,11.641791,4.058458,0.174456,0.376042,0.201586
14,144,9,135,100,87.5,12.5,7.847222,11.142857,3.295635,0.180392,0.36662,0.186228
15,144,8,136,100,88.888889,11.111111,7.638889,11.34375,3.704861,0.176573,0.373231,0.196658
16,144,9,135,100,87.5,12.5,7.819444,11.444444,3.625,0.179054,0.372356,0.193302
17,144,9,135,100,87.5,12.5,7.708333,11.539683,3.831349,0.177288,0.37815,0.200862
18,144,6,138,100,91.666667,8.333333,7.569444,11.469697,3.900253,0.174006,0.371112,0.197106
19,144,8,136,100,88.888889,11.111111,7.763889,11.484375,3.720486,0.179256,0.373636,0.19438
20,144,9,135,100,87.5,12.5,7.736111,11.301587,3.565476,0.177983,0.365529,0.187546
21,144,9,135,100,87.5,12.5,7.791667,11.349206,3.55754,0.177785,0.372448,0.194663
22,144,9,135,100,87.5,12.5,7.763889,11.507937,3.744048,0.177561,0.373308,0.195747
23,144,8,136,100,88.888889,11.111111,7.625,11.5625,3.9375,0.174534,0.379459,0.204925
24,144,9,135,100,87.5,12.5,7.736111,11.301587,3.565476,0.180639,0.370969,0.190329
25,144,9,135,100,87.5,12.5,7.736111,11.222222,3.486111,0.177214,0.367876,0.190663
26,144,9,135,100,87.5,12.5,7.708333,11.412698,3.704365,0.175903,0.37392,0.198017
27,144,8,136,100,88.888889,11.111111,7.708333,11.53125,3.822917,0.176641,0.375906,0.199265
28,144,8,136,100,88.888889,11.111111,7.680556,11.125,3.444444,0.176957,0.369224,0.192267
29,144,9,135,100,87.5,12.5,7.652778,11.333333,3.680556,0.175407,0.366821,0.191414
30,144,8,136,100,88.888889,11.111111,7.597222,11.296875,3.699653,0.175084,0.369959,0.194875
TOTALS:,4320,241,4079,100,88.842593,11.157407,7.684259,11.440334,3.756074,0.176434,0.373521,0.197087
