ANN,Total,Error/TO,Incl,%,%,%,Congruent,Incongruent,SCE,Response,Response,Response
,# Trials,# Trials,# Trials,Hits,Hits,Hits,,,I-C,Conflict,Conflict,Conflict
,,,,C,I,C-I,,,,Cong,Incong,I-C
,,,,,,,Mean,Mean,Mean,Mean,Mean,Mean
1,144,15,129,97.222222,81.944444,15.277778,10.614286,14.491525,3.87724,0.285385,0.399704,0.114319
2,144,17,127,94.444444,81.944444,12.5,11.161765,15.627119,4.465354,0.299576,0.412467,0.112891
3,144,23,121,88.888889,79.166667,9.722222,10.828125,13.736842,2.908717,0.28906,0.381548,0.092488
4,144,24,120,83.333333,83.333333,0,10.033333,12.4,2.366667,0.273754,0.356775,0.083021
5,144,21,123,97.222222,73.611111,23.611111,11.4,15.415094,4.015094,0.299413,0.411862,0.112449
6,144,25,119,91.666667,73.611111,18.055556,11.424242,16.54717,5.122927,0.298008,0.411714,0.113707
7,144,18,126,91.666667,83.333333,8.333333,10.287879,14.4,4.112121,0.274086,0.398282,0.124196
8,144,32,112,81.944444,73.611111,8.333333,11.288136,14.45283,3.164695,0.299705,0.383763,0.084058
9,144,11,133,98.611111,86.111111,12.5,10.774648,14.274194,3.499546,0.287341,0.386318,0.098977
10,144,12,132,97.222222,86.111111,11.111111,11.2,15.274194,4.074194,0.300482,0.406027,0.105545
11,144,39,105,77.777778,68.055556,9.722222,10.107143,13.959184,3.852041,0.277349,0.400891,0.123542
12,144,23,121,91.666667,76.388889,15.277778,11.515152,12.909091,1.393939,0.301358,0.357348,0.05599
13,144,12,132,98.611111,84.722222,13.888889,11.309859,14.786885,3.477026,0.298827,0.394572,0.095745
14,144,18,126,91.666667,83.333333,8.333333,10.560606,13.766667,3.206061,0.281725,0.389985,0.10826
15,144,12,132,97.222222,86.111111,11.111111,11.057143,14.951613,3.89447,0.296287,0.403818,0.107531
16,144,10,134,98.611111,87.5,11.111111,10.633803,14.825397,4.191594,0.284963,0.40307,0.118107
17,144,14,130,91.666667,88.888889,2.777778,9.833333,14.46875,4.635417,0.267775,0.410889,0.143114
18,144,24,120,94.444444,72.222222,22.222222,11.25,15.307692,4.057692,0.298214,0.403322,0.105108
19,144,18,126,98.611111,76.388889,22.222222,11.338028,15.727273,4.389245,0.297755,0.416881,0.119126
20,144,19,125,90.277778,83.333333,6.944444,10.8,13.6,2.8,0.291688,0.377985,0.086297
21,144,38,106,79.166667,68.055556,11.111111,11,12.265306,1.265306,0.292136,0.349686,0.05755
22,144,15,129,97.222222,81.944444,15.277778,10.642857,13.40678,2.763923,0.284278,0.378747,0.094469
23,144,1,143,100,98.611111,1.388889,10.111111,13.887324,3.776213,0.274002,0.390424,0.116422
24,144,15,129,93.055556,86.111111,6.944444,10.343284,13.451613,3.108329,0.281625,0.386614,0.104989
25,144,20,124,94.444444,77.777778,16.666667,11.323529,14.375,3.051471,0.300651,0.383161,0.082511
26,144,3,141,100,95.833333,4.166667,10.652778,14.231884,3.579106,0.284007,0.384697,0.10069
27,144,32,112,80.555556,75,5.555556,10.637931,13.703704,3.065773,0.283675,0.385961,0.102286
28,144,17,127,94.444444,81.944444,12.5,11.102941,14.186441,3.0835,0.299341,0.388809,0.089469
29,144,29,115,87.5,72.222222,15.277778,10.984127,12.673077,1.68895,0.290668,0.360317,0.069649
30,144,14,130,100,80.555556,19.444444,10.930556,14.172414,3.241858,0.288746,0.387527,0.098781
TOTALS:,4320,571,3749,92.638889,80.925926,11.712963,10.844578,14.246568,3.40199,0.289513,0.390346,0.100833
