ANN,trial,N1,N2,P1,P2,Succ.,Cong,Ndist,Ndist,Pdist,Pdist,rt,a1,a2,x_acc
1,77,1,2,9,8,0,I,1,S,1,S,15,0.759205,0.48046,0.364768
1,78,1,2,2,9,1,C,1,S,7,L,11,0.402427,0.768158,0.309127
1,79,8,2,1,2,1,I,6,S,1,S,11,0.790601,0.387031,0.305987
1,80,1,8,9,8,1,I,7,L,1,S,11,0.398346,0.804306,0.320392
1,81,2,9,8,1,1,I,7,L,7,L,18,0.6264,0.768136,0.48116
1,82,2,1,1,9,1,I,1,S,8,L,15,0.762849,0.58543,0.446595
1,83,1,9,9,8,1,I,8,L,1,S,11,0.434606,0.75563,0.328401
1,84,1,9,8,9,1,C,8,L,1,S,11,0.402716,0.778262,0.313418
1,85,2,9,9,8,1,I,7,L,1,S,13,0.492902,0.751943,0.370635
1,86,9,1,2,8,1,I,8,L,6,S,11,0.789777,0.447759,0.35363
1,87,9,2,8,1,1,C,7,L,7,L,8,0.768832,0.285764,0.219705
1,88,9,1,2,9,1,I,8,L,7,L,11,0.765491,0.479127,0.366767
1,89,1,2,9,1,0,I,1,S,8,L,11,0.762712,0.414093,0.315834
1,90,8,9,9,2,0,I,1,S,7,L,12,0.764936,0.435013,0.332757
1,91,8,9,8,2,0,I,1,S,6,S,12,0.782077,0.421083,0.32932
1,92,2,9,1,8,1,C,7,L,7,L,10,0.34023,0.798519,0.271681
1,93,9,1,9,8,1,C,8,L,1,S,9,0.808908,0.305137,0.246828
1,94,9,8,8,1,1,C,1,S,7,L,10,0.766908,0.369845,0.283637
1,95,1,8,8,2,1,I,7,L,6,S,13,0.533727,0.779576,0.416081
1,96,1,2,1,9,1,C,1,S,8,L,11,0.407571,0.763536,0.311195
1,97,1,2,2,8,1,C,1,S,6,S,12,0.407778,0.788649,0.321594
1,98,2,8,9,8,1,I,6,S,1,S,12,0.435831,0.791793,0.345088
1,99,1,9,9,2,1,I,8,L,7,L,14,0.55553,0.774869,0.430463
1,100,2,9,1,9,1,C,7,L,8,L,10,0.315828,0.829768,0.262064
1,101,2,9,9,2,1,I,7,L,7,L,17,0.608553,0.76814,0.467454
1,102,8,1,9,1,1,C,7,L,8,L,9,0.846912,0.270251,0.228879
1,103,8,1,2,9,1,I,7,L,7,L,13,0.775064,0.532944,0.413065
1,104,1,2,8,9,0,C,1,S,1,S,18,0.758135,0.509446,0.386229
1,105,9,2,1,8,1,I,7,L,7,L,11,0.761677,0.467262,0.355903
1,106,2,9,2,9,1,C,7,L,7,L,10,0.310781,0.834231,0.259263
1,107,8,1,8,1,1,C,7,L,7,L,9,0.858911,0.26045,0.223704
1,108,8,1,9,8,1,C,7,L,1,S,9,0.753169,0.343276,0.258544
1,109,2,1,9,8,1,C,1,S,1,S,10,0.773016,0.361466,0.279419
1,110,8,9,2,9,1,C,1,S,7,L,11,0.388025,0.778663,0.30214
1,111,2,1,1,8,1,I,1,S,7,L,14,0.762189,0.553614,0.421958
