ANN,trial,N1,N2,P1,P2,Succ.,Cong,Ndist,Ndist,Pdist,Pdist,rt,a1,a2,x_acc
1,1,8,1,9,2,1,C,7,L,7,L,10,0.83996,0.308375,0.259023
1,2,9,1,9,2,1,C,8,L,7,L,9,0.815903,0.295605,0.241185
1,3,2,1,8,1,1,C,1,S,7,L,9,0.7556,0.340316,0.257142
1,4,9,2,8,1,1,C,7,L,7,L,9,0.810169,0.301022,0.243879
1,5,1,9,9,8,1,I,8,L,1,S,13,0.466244,0.772146,0.360009
1,6,2,8,1,8,1,C,6,S,7,L,10,0.335565,0.80599,0.270462
1,7,1,8,1,8,1,C,7,L,7,L,9,0.340457,0.755526,0.257224
1,8,1,2,8,1,0,I,1,S,7,L,11,0.781034,0.391651,0.305893
1,9,8,2,9,8,1,C,6,S,1,S,11,0.78134,0.383479,0.299627
1,10,8,1,2,9,1,I,7,L,7,L,14,0.756848,0.569049,0.430684
1,11,8,9,9,2,0,I,1,S,7,L,15,0.762667,0.505928,0.385855
1,12,2,1,9,8,1,C,1,S,1,S,11,0.825241,0.351039,0.289692
1,13,8,1,2,8,1,I,7,L,6,S,14,0.771959,0.549006,0.42381
1,14,8,9,1,8,1,C,1,S,7,L,12,0.388486,0.804823,0.312662
1,15,9,8,2,1,1,C,1,S,1,S,16,0.795762,0.433989,0.345352
1,16,2,1,9,2,1,C,1,S,7,L,10,0.815997,0.327261,0.267044
1,17,1,2,1,2,0,C,1,S,1,S,22,0.766133,0.614205,0.470562
1,18,9,8,1,9,0,I,1,S,8,L,13,0.458859,0.769081,0.3529
1,19,9,2,1,8,1,I,7,L,7,L,12,0.77122,0.489371,0.377413
1,20,9,2,2,8,1,I,7,L,6,S,12,0.752594,0.512005,0.385332
1,21,2,8,8,2,1,I,6,S,6,S,14,0.531013,0.765975,0.406743
1,22,9,1,1,8,1,I,8,L,7,L,11,0.772113,0.454179,0.350677
1,23,2,9,9,8,1,I,7,L,1,S,16,0.541775,0.755674,0.409405
1,24,2,1,2,9,1,I,1,S,7,L,15,0.756957,0.589727,0.446398
