ANN,trial,N1,N2,P1,P2,Succ.,,Ndist,Ndist,Pdist,Pdist,rt,a1,a2,x_acc
22,12,8,3,0,0,1,,5,S,0,S,15,0.786527,0.012191,0.009588
22,13,5,8,0,0,1,,3,S,0,S,17,0.019532,0.776825,0.015173
22,14,6,9,0,0,1,,3,S,0,S,16,0.013976,0.782888,0.010942
22,15,5,9,0,0,1,,4,S,0,S,15,0.024152,0.763181,0.018432
22,16,6,2,0,0,1,,4,S,0,S,15,0.792534,0.004436,0.003516
22,17,7,9,0,0,1,,2,S,0,S,17,0.031584,0.764704,0.024153
22,18,8,1,0,0,1,,7,L,0,S,14,0.766858,0.023847,0.018287
22,19,7,4,0,0,1,,3,S,0,S,17,0.769474,0.029356,0.022589
22,20,4,1,0,0,1,,3,S,0,S,19,0.76743,0.034805,0.02671
22,21,9,4,0,0,1,,5,S,0,S,17,0.797067,0.004562,0.003636
22,22,6,4,0,0,1,,2,S,0,S,20,0.777105,0.025909,0.020134
22,23,9,7,0,0,1,,2,S,0,S,21,0.753549,0.042466,0.032
22,24,3,9,0,0,1,,6,S,0,S,15,0.017003,0.776283,0.013199
22,25,2,7,0,0,1,,5,S,0,S,15,0.013082,0.783864,0.010255
22,26,8,7,0,0,1,,1,S,0,S,27,0.760551,0.042746,0.03251
22,27,1,9,0,0,1,,8,L,0,S,13,0.006787,0.775913,0.005266
22,28,8,9,0,0,1,,1,S,0,S,17,0.032304,0.764671,0.024702
22,29,4,7,0,0,1,,3,S,0,S,15,0.021083,0.772175,0.01628
22,30,5,7,0,0,1,,2,S,0,S,18,0.008644,0.791979,0.006846
22,31,7,1,0,0,1,,6,S,0,S,14,0.7646,0.024971,0.019093
22,32,3,8,0,0,1,,5,S,0,S,17,0.008313,0.795005,0.006609
22,33,7,6,0,0,1,,1,S,0,S,22,0.775304,0.030071,0.023314
22,34,3,1,0,0,1,,2,S,0,S,16,0.783413,0.016709,0.01309
22,35,5,4,0,0,1,,1,S,0,S,29,0.754984,0.043367,0.032741
22,36,5,3,0,0,1,,2,S,0,S,17,0.773229,0.023472,0.018149
22,37,2,1,0,0,1,,1,S,0,S,20,0.779881,0.027076,0.021116
22,38,6,7,0,0,1,,1,S,0,S,19,0.040369,0.756606,0.030543
22,39,4,6,0,0,1,,2,S,0,S,15,0.032897,0.758174,0.024941
22,40,9,3,0,0,1,,6,S,0,S,15,0.795393,0.001899,0.00151
22,41,7,8,0,0,1,,1,S,0,S,23,0.041297,0.760999,0.031427
22,42,2,3,0,0,1,,1,S,0,S,27,0.025482,0.784544,0.019992
22,43,5,6,0,0,1,,1,S,0,S,18,0.036376,0.758151,0.027579
22,44,1,3,0,0,1,,2,S,0,S,17,0.02355,0.774189,0.018232
22,45,9,5,0,0,1,,4,S,0,S,17,0.757984,0.033731,0.025568
22,46,6,1,0,0,1,,5,S,0,S,15,0.774532,0.020078,0.015551
22,47,5,2,0,0,1,,3,S,0,S,15,0.755719,0.030637,0.023153
22,48,9,1,0,0,1,,8,L,0,S,14,0.773468,0.01546,0.011958
22,49,7,2,0,0,1,,5,S,0,S,14,0.778343,0.01282,0.009979
