ANN,trial,N1,N2,P1,P2,Succ.,,Ndist,Ndist,Pdist,Pdist,rt,a1,a2,x_acc
1,1,6,2,0,0,1,,4,S,0,S,16,0.78792,0.014356,0.011311
1,2,4,6,0,0,1,,2,S,0,S,14,0.008171,0.784145,0.006407
1,3,5,4,0,0,1,,1,S,0,S,20,0.792107,0.018038,0.014288
1,4,9,5,0,0,1,,4,S,0,S,14,0.764898,0.023735,0.018155
1,5,6,3,0,0,1,,3,S,0,S,20,0.796678,0.010883,0.008671
1,6,8,6,0,0,0,,2,S,0,S,16,0.035422,0.758357,0.026862
1,7,4,3,0,0,0,,1,S,0,S,21,0.043724,0.754446,0.032988
1,8,2,5,0,0,1,,3,S,0,S,21,0.030953,0.772501,0.023911
1,9,1,4,0,0,1,,3,S,0,S,16,0.015856,0.787363,0.012484
1,10,3,4,0,0,1,,1,S,0,S,16,0.028018,0.770999,0.021602
1,11,9,4,0,0,1,,5,S,0,S,14,0.768192,0.023835,0.01831
1,12,7,5,0,0,1,,2,S,0,S,19,0.77397,0.027685,0.021428
1,13,6,1,0,0,1,,5,S,0,S,14,0.764716,0.024501,0.018736
1,14,5,1,0,0,1,,4,S,0,S,14,0.782544,0.011088,0.008677
1,15,9,2,0,0,1,,7,L,0,S,13,0.778623,0.010174,0.007921
1,16,1,2,0,0,1,,1,S,0,S,24,0.047897,0.756878,0.036252
1,17,7,1,0,0,1,,6,S,0,S,14,0.785306,0.008233,0.006466
1,18,1,6,0,0,1,,5,S,0,S,13,0.013946,0.772322,0.010771
1,19,2,8,0,0,1,,6,S,0,S,14,0.0279,0.758742,0.021169
1,20,8,7,0,0,1,,1,S,0,S,23,0.753111,0.046399,0.034943
1,21,8,2,0,0,1,,6,S,0,S,14,0.755037,0.032191,0.024306
1,22,8,5,0,0,1,,3,S,0,S,17,0.775683,0.022994,0.017836
1,23,4,5,0,0,1,,1,S,0,S,19,0.026413,0.774262,0.02045
1,24,5,9,0,0,1,,4,S,0,S,18,0.028609,0.773328,0.022124
1,25,8,9,0,0,1,,1,S,0,S,23,0.039632,0.762653,0.030226
1,26,9,3,0,0,1,,6,S,0,S,14,0.781742,0.010747,0.008401
1,27,5,3,0,0,1,,2,S,0,S,18,0.779043,0.023236,0.018102
1,28,1,7,0,0,1,,6,S,0,S,15,0,0.801319,0
1,29,3,5,0,0,1,,2,S,0,S,16,0.035928,0.757208,0.027205
1,30,2,9,0,0,1,,7,L,0,S,16,0.012003,0.788958,0.00947
1,31,4,2,0,0,1,,2,S,0,S,18,0.766431,0.033825,0.025924
1,32,9,6,0,0,1,,3,S,0,S,22,0.762716,0.041014,0.031282
1,33,4,8,0,0,1,,4,S,0,S,14,0.016501,0.771944,0.012738
1,34,6,8,0,0,1,,2,S,0,S,15,0.018877,0.775475,0.014639
1,35,1,9,0,0,1,,8,L,0,S,14,0.01928,0.771664,0.014878
1,36,5,8,0,0,1,,3,S,0,S,15,0.03831,0.750865,0.028765
1,37,6,7,0,0,1,,1,S,0,S,18,0.034624,0.764277,0.026462
1,38,5,2,0,0,1,,3,S,0,S,15,0.766605,0.028448,0.021808
1,39,7,6,0,0,0,,1,S,0,S,15,0.031288,0.760362,0.02379
1,40,8,3,0,0,1,,5,S,0,S,16,0.765331,0.028889,0.02211
1,41,4,9,0,0,1,,5,S,0,S,15,0.029724,0.760808,0.022614
1,42,2,3,0,0,1,,1,S,0,S,32,0.024929,0.782418,0.019505
1,43,9,7,0,0,1,,2,S,0,S,16,0.798501,0.004248,0.003392
1,44,7,4,0,0,1,,3,S,0,S,19,0.769844,0.034045,0.02621
1,45,5,6,0,0,1,,1,S,0,S,15,0.024862,0.769643,0.019135
1,46,6,4,0,0,1,,2,S,0,S,23,0.752181,0.051365,0.038636
1,47,2,6,0,0,1,,4,S,0,S,14,0.018687,0.772115,0.014428
1,48,7,8,0,0,1,,1,S,0,S,16,0.00927,0.790826,0.007331
1,49,6,5,0,0,1,,1,S,0,S,23,0.786548,0.020622,0.01622
1,50,9,8,0,0,1,,1,S,0,S,20,0.762803,0.03839,0.029284
1,51,1,3,0,0,1,,2,S,0,S,17,0.016015,0.786293,0.012593
1,52,1,8,0,0,1,,7,L,0,S,13,0.02031,0.762627,0.015489
1,53,1,5,0,0,1,,4,S,0,S,16,0.023182,0.774473,0.017954
1,54,8,1,0,0,1,,7,L,0,S,13,0.75472,0.026153,0.019738
1,55,7,3,0,0,1,,4,S,0,S,18,0.792365,0.011796,0.009347
1,56,2,1,0,0,1,,1,S,0,S,15,0.78231,0.01472,0.011515
1,57,5,7,0,0,1,,2,S,0,S,20,0.028181,0.775665,0.021859
1,58,7,9,0,0,1,,2,S,0,S,18,0.045018,0.75147,0.03383
1,59,2,7,0,0,1,,5,S,0,S,16,0.041604,0.750236,0.031213
1,60,3,6,0,0,1,,3,S,0,S,13,0.01847,0.765508,0.014139
1,61,3,2,0,0,1,,1,S,0,S,30,0.768327,0.038642,0.02969
1,62,8,4,0,0,1,,4,S,0,S,17,0.776817,0.025034,0.019447
1,63,2,4,0,0,1,,2,S,0,S,20,0.04333,0.760014,0.032931
1,64,3,8,0,0,1,,5,S,0,S,13,0.025092,0.755433,0.018955
1,65,6,9,0,0,1,,3,S,0,S,17,0.023855,0.776737,0.018529
1,66,9,1,0,0,1,,8,L,0,S,12,0.755916,0.019649,0.014853
1,67,3,7,0,0,1,,4,S,0,S,15,0.00684,0.790824,0.005409
1,68,3,1,0,0,1,,2,S,0,S,17,0.779931,0.021485,0.016757
1,69,4,1,0,0,1,,3,S,0,S,15,0.756233,0.033639,0.025439
1,70,7,2,0,0,1,,5,S,0,S,15,0.771804,0.023614,0.018225
1,71,4,7,0,0,1,,3,S,0,S,16,0.018235,0.778365,0.014194
1,72,3,9,0,0,1,,6,S,0,S,14,0.025859,0.762208,0.01971
2,1,2,6,0,0,1,,4,S,0,S,15,0.009047,0.789609,0.007144
2,2,8,1,0,0,1,,7,L,0,S,13,0.767371,0.017622,0.013523
2,3,6,4,0,0,1,,2,S,0,S,21,0.7883,0.019397,0.015291
2,4,6,2,0,0,1,,4,S,0,S,17,0.783642,0.018436,0.014447
2,5,6,8,0,0,1,,2,S,0,S,18,0.029884,0.771305,0.023049
2,6,8,5,0,0,1,,3,S,0,S,16,0.766773,0.029096,0.02231
2,7,5,3,0,0,1,,2,S,0,S,16,0.779607,0.016854,0.013139
2,8,3,7,0,0,1,,4,S,0,S,17,0.025794,0.771386,0.019897
2,9,3,2,0,0,1,,1,S,0,S,18,0.770593,0.030736,0.023685
2,10,4,7,0,0,1,,3,S,0,S,17,0.006523,0.794731,0.005184
2,11,7,4,0,0,1,,3,S,0,S,20,0.79415,0.012695,0.010082
2,12,5,4,0,0,1,,1,S,0,S,30,0.791794,0.017085,0.013528
2,13,2,8,0,0,1,,6,S,0,S,14,0.009671,0.783772,0.00758
2,14,6,7,0,0,1,,1,S,0,S,18,0.041773,0.752797,0.031447
2,15,3,5,0,0,1,,2,S,0,S,23,0.035576,0.768078,0.027325
2,16,6,1,0,0,1,,5,S,0,S,14,0.761328,0.026884,0.020467
2,17,1,2,0,0,1,,1,S,0,S,17,0.018482,0.781227,0.014439
2,18,8,2,0,0,1,,6,S,0,S,15,0.798365,0.002397,0.001914
2,19,5,6,0,0,1,,1,S,0,S,21,0.03459,0.767642,0.026553
2,20,9,4,0,0,1,,5,S,0,S,17,0.794152,0.009741,0.007736
2,21,4,3,0,0,1,,1,S,0,S,16,0.754725,0.036932,0.027873
2,22,4,5,0,0,1,,1,S,0,S,21,0.014761,0.791755,0.011687
2,23,8,9,0,0,1,,1,S,0,S,16,0.007485,0.793534,0.00594
2,24,3,4,0,0,1,,1,S,0,S,30,0.047795,0.755739,0.036121
2,25,9,2,0,0,1,,7,L,0,S,15,0.772073,0.021883,0.016895
2,26,7,5,0,0,1,,2,S,0,S,21,0.77776,0.025258,0.019644
2,27,1,8,0,0,1,,7,L,0,S,14,0.008596,0.782843,0.006729
2,28,8,3,0,0,1,,5,S,0,S,14,0.787525,0.005888,0.004637
2,29,6,5,0,0,1,,1,S,0,S,23,0.782966,0.02333,0.018266
2,30,1,7,0,0,1,,6,S,0,S,14,0.012423,0.774862,0.009626
2,31,5,1,0,0,1,,4,S,0,S,15,0.789582,0.0077,0.00608
2,32,4,9,0,0,1,,5,S,0,S,14,0,0.800814,0
2,33,7,1,0,0,1,,6,S,0,S,14,0.76749,0.021021,0.016134
2,34,8,7,0,0,1,,1,S,0,S,20,0.784892,0.019115,0.015003
2,35,9,3,0,0,1,,6,S,0,S,14,0.767611,0.020198,0.015504
2,36,4,1,0,0,1,,3,S,0,S,15,0.773445,0.020886,0.016154
2,37,5,9,0,0,1,,4,S,0,S,14,0.003605,0.788231,0.002841
2,38,4,6,0,0,1,,2,S,0,S,19,0.033403,0.767941,0.025652
2,39,9,7,0,0,1,,2,S,0,S,24,0.775401,0.027316,0.021181
2,40,1,9,0,0,1,,8,L,0,S,12,0.019993,0.750863,0.015012
2,41,2,9,0,0,1,,7,L,0,S,12,0.020502,0.75237,0.015425
2,42,7,8,0,0,1,,1,S,0,S,19,0.023113,0.779762,0.018023
2,43,6,9,0,0,1,,3,S,0,S,14,0.01508,0.774704,0.011682
2,44,1,6,0,0,1,,5,S,0,S,15,0.007355,0.789376,0.005806
2,45,1,5,0,0,1,,4,S,0,S,15,0.018831,0.773216,0.01456
2,46,8,4,0,0,1,,4,S,0,S,16,0.786141,0.015017,0.011806
2,47,2,4,0,0,1,,2,S,0,S,15,0.02936,0.763556,0.022418
2,48,5,8,0,0,1,,3,S,0,S,17,0.024596,0.774272,0.019044
2,49,7,3,0,0,1,,4,S,0,S,15,0.770801,0.020877,0.016092
2,50,1,4,0,0,1,,3,S,0,S,15,0.02703,0.764051,0.020653
2,51,7,6,0,0,1,,1,S,0,S,24,0.794584,0.01414,0.011236
2,52,5,7,0,0,1,,2,S,0,S,17,0.033546,0.759515,0.025479
2,53,4,8,0,0,1,,4,S,0,S,16,0.034969,0.759055,0.026543
2,54,7,2,0,0,1,,5,S,0,S,16,0.750792,0.040734,0.030583
2,55,2,1,0,0,1,,1,S,0,S,21,0.796199,0.013133,0.010457
2,56,3,1,0,0,1,,2,S,0,S,15,0.789811,0.008921,0.007046
2,57,2,7,0,0,1,,5,S,0,S,14,0.013493,0.775831,0.010468
2,58,7,9,0,0,1,,2,S,0,S,14,0.022495,0.763559,0.017177
2,59,9,5,0,0,1,,4,S,0,S,17,0.769702,0.027905,0.021479
2,60,9,6,0,0,1,,3,S,0,S,18,0.790345,0.014362,0.011351
2,61,2,5,0,0,1,,3,S,0,S,15,0.020824,0.77312,0.016099
2,62,9,1,0,0,1,,8,L,0,S,13,0.750969,0.029091,0.021847
2,63,3,9,0,0,1,,6,S,0,S,14,0.000707,0.793716,0.000561
2,64,3,8,0,0,1,,5,S,0,S,17,0.017236,0.785513,0.013539
2,65,8,6,0,0,1,,2,S,0,S,17,0.79611,0.009274,0.007383
2,66,4,2,0,0,1,,2,S,0,S,19,0.767988,0.033181,0.025482
