ANN,trial,N1,N2,P1,P2,Succ.,,Ndist,Ndist,Pdist,Pdist,rt,a1,a2,x_acc,,Size
1,38,2,5,0,0,1,,3,S,0,S,21,0.030308,0.756408,0.022925,,0
1,39,1,7,0,0,1,,6,S,0,S,15,0,0.784624,0,,0
1,40,9,7,0,0,1,,2,S,0,S,16,0.781865,0.004159,0.003252,,0
1,41,4,3,0,0,0,,1,S,0,S,22,0.007609,0.783373,0.005961,,0
1,42,9,6,0,0,1,,3,S,0,S,23,0.791379,0.004634,0.003667,,0
1,43,4,2,0,0,1,,2,S,0,S,18,0.750464,0.03312,0.024855,,0
1,44,2,3,0,0,1,,1,S,0,S,32,0.02441,0.766117,0.018701,,0
1,45,8,7,0,0,1,,1,S,0,S,24,0.781858,0.010087,0.007887,,0
1,46,7,6,0,0,0,,1,S,0,S,16,0,0.793048,0,,0
1,47,2,8,0,0,1,,6,S,0,S,15,0,0.792928,0,,0
1,48,1,9,0,0,1,,8,L,0,S,14,0.018878,0.755588,0.014264,,0
1,49,4,1,0,0,1,,3,S,0,S,16,0.789072,0,0,,0
1,50,9,8,0,0,1,,1,S,0,S,21,0.791751,0.002282,0.001807,,L
1,51,2,7,0,0,1,,5,S,0,S,17,0.005307,0.782385,0.004152,,0
1,52,2,9,0,0,1,,7,L,0,S,16,0.011753,0.772521,0.009079,,0
1,53,2,1,0,0,1,,1,S,0,S,15,0.766011,0.014413,0.011041,,S
1,54,5,7,0,0,1,,2,S,0,S,20,0.027594,0.759505,0.020957,,0
1,55,6,4,0,0,1,,2,S,0,S,24,0.781684,0.01425,0.011139,,0
1,56,3,1,0,0,1,,2,S,0,S,17,0.763683,0.021037,0.016066,,0
1,57,7,9,0,0,1,,2,S,0,S,19,0.008538,0.782082,0.006678,,0
1,58,3,2,0,0,1,,1,S,0,S,30,0.75232,0.037837,0.028466,,0
1,59,2,6,0,0,1,,4,S,0,S,14,0.018297,0.75603,0.013833,,0
1,60,7,2,0,0,1,,5,S,0,S,15,0.755725,0.023122,0.017474,,0
1,61,8,3,0,0,1,,5,S,0,S,17,0.796305,0,0,,0
1,62,1,4,0,0,1,,3,S,0,S,16,0.015525,0.77096,0.01197,,0
1,63,6,9,0,0,1,,3,S,0,S,17,0.023358,0.760555,0.017765,,0
1,64,9,5,0,0,1,,4,S,0,S,15,0.798759,0,0,,0
1,65,4,7,0,0,1,,3,S,0,S,16,0.017855,0.762149,0.013608,,0
1,66,3,6,0,0,1,,3,S,0,S,14,0,0.801348,0,,0
1,67,7,8,0,0,1,,1,S,0,S,16,0.009077,0.77435,0.007029,,0
1,68,6,8,0,0,1,,2,S,0,S,15,0.018484,0.759319,0.014035,,0
1,69,4,9,0,0,1,,5,S,0,S,16,0,0.793284,0,,0
1,70,8,5,0,0,1,,3,S,0,S,17,0.759523,0.022515,0.0171,,0
1,71,5,4,0,0,1,,1,S,0,S,20,0.775605,0.017662,0.013699,,0
1,72,1,6,0,0,1,,5,S,0,S,13,0.013655,0.756232,0.010326,,0
2,1,6,9,0,0,1,,3,S,0,S,14,0.014766,0.758564,0.011201,,0
2,2,8,5,0,0,1,,3,S,0,S,16,0.750799,0.02849,0.02139,,0
2,3,9,8,0,0,1,,1,S,0,S,25,0.756688,0.03182,0.024078,,L
2,4,1,5,0,0,1,,4,S,0,S,15,0.018438,0.757107,0.01396,,0
2,5,7,4,0,0,1,,3,S,0,S,20,0.777606,0.01243,0.009666,,0
2,6,2,7,0,0,1,,5,S,0,S,14,0.013212,0.759668,0.010037,,0
2,7,8,7,0,0,1,,1,S,0,S,20,0.76854,0.018717,0.014384,,0
2,8,6,3,0,0,1,,3,S,0,S,16,0.794213,0,0,,0
2,9,5,9,0,0,1,,4,S,0,S,14,0.00353,0.77181,0.002724,,0
2,10,8,9,0,0,1,,1,S,0,S,16,0.007329,0.777002,0.005695,,L
2,11,2,3,0,0,1,,1,S,0,S,21,0.033369,0.752055,0.025096,,0
2,12,9,5,0,0,1,,4,S,0,S,17,0.753667,0.027324,0.020593,,0
2,13,1,7,0,0,1,,6,S,0,S,14,0.012164,0.758719,0.009229,,0
2,14,6,8,0,0,1,,2,S,0,S,18,0.029261,0.755236,0.022099,,0
2,15,7,8,0,0,1,,1,S,0,S,19,0.022632,0.763517,0.01728,,0
2,16,9,7,0,0,1,,2,S,0,S,24,0.759247,0.026747,0.020308,,0
2,17,9,1,0,0,1,,8,L,0,S,14,0.787654,0,0,,0
2,18,7,9,0,0,1,,2,S,0,S,15,0,0.797184,0,,0
2,19,6,4,0,0,1,,2,S,0,S,21,0.771877,0.018993,0.01466,,0
2,20,2,9,0,0,1,,7,L,0,S,13,0,0.79143,0,,0
2,21,5,4,0,0,1,,1,S,0,S,30,0.775299,0.01673,0.01297,,0
2,22,4,6,0,0,1,,2,S,0,S,19,0.032707,0.751942,0.024594,,0
2,23,7,1,0,0,1,,6,S,0,S,14,0.751501,0.020583,0.015468,,0
