ANN,trial,N1,N2,P1,P2,Succ.,,Ndist,Ndist,Pdist,Pdist,rt,a1,a2,x_acc,,Size
1,1,8,3,0,0,1,,5,S,0,S,16,0.792595,0.007421,0.005882,,0
1,2,3,1,0,0,1,,2,S,0,S,17,0.791846,0.011777,0.009325,,0
1,3,5,1,0,0,1,,4,S,0,S,14,0.790486,0.004735,0.003743,,0
1,4,2,7,0,0,1,,5,S,0,S,16,0.025759,0.770242,0.01984,,0
1,5,6,9,0,0,1,,3,S,0,S,17,0.018484,0.783263,0.014478,,0
1,6,4,3,0,0,0,,1,S,0,S,24,0.041043,0.759212,0.03116,,0
1,7,6,8,0,0,1,,2,S,0,S,15,0.016693,0.778011,0.012987,,0
1,8,6,3,0,0,1,,3,S,0,S,19,0.794262,0.011747,0.00933,,0
1,9,2,6,0,0,1,,4,S,0,S,14,0.016547,0.77472,0.012819,,0
1,10,4,9,0,0,1,,5,S,0,S,15,0.02675,0.76448,0.02045,,0
1,11,5,2,0,0,1,,3,S,0,S,15,0.775345,0.021401,0.016593,,0
1,12,4,1,0,0,1,,3,S,0,S,15,0.773096,0.020393,0.015766,,0
1,13,3,5,0,0,1,,2,S,0,S,16,0.029968,0.764539,0.022911,,0
1,14,2,1,0,0,1,,1,S,0,S,15,0.786001,0.011598,0.009116,,S
1,15,5,4,0,0,1,,1,S,0,S,19,0.755795,0.045845,0.034649,,0
1,16,3,4,0,0,1,,1,S,0,S,16,0.024876,0.77469,0.019271,,0
1,17,7,9,0,0,1,,2,S,0,S,18,0.045729,0.750333,0.034312,,0
1,18,4,5,0,0,1,,1,S,0,S,19,0.037484,0.760067,0.02849,,0
1,19,7,6,0,0,0,,1,S,0,S,16,0.005603,0.796761,0.004464,,0
1,20,9,6,0,0,1,,3,S,0,S,20,0.755063,0.045664,0.034479,,0
1,21,5,9,0,0,1,,4,S,0,S,18,0.014832,0.79038,0.011723,,0
1,22,6,5,0,0,1,,1,S,0,S,22,0.774218,0.029883,0.023136,,0
1,23,9,3,0,0,1,,6,S,0,S,14,0.792589,0.002244,0.001779,,0
1,24,9,5,0,0,1,,4,S,0,S,14,0.770597,0.019165,0.014768,,0
1,25,8,7,0,0,1,,1,S,0,S,22,0.771337,0.031323,0.02416,,0
1,26,4,8,0,0,1,,4,S,0,S,14,0.015001,0.773723,0.011606,,0
1,27,7,8,0,0,1,,1,S,0,S,16,0.010341,0.789231,0.008161,,0
1,28,1,8,0,0,1,,7,L,0,S,13,0.012485,0.772674,0.009647,,0
1,29,6,2,0,0,1,,4,S,0,S,15,0.751827,0.039355,0.029588,,0
1,30,3,6,0,0,1,,3,S,0,S,13,0.017981,0.76598,0.013773,,0
1,31,8,9,0,0,1,,1,S,0,S,25,0.01913,0.788653,0.015087,,L
1,32,9,8,0,0,1,,1,S,0,S,20,0.769171,0.033102,0.025461,,L
1,33,8,6,0,0,0,,2,S,0,S,17,0.019892,0.780874,0.015533,,0
1,34,8,4,0,0,1,,4,S,0,S,16,0.752221,0.041915,0.03153,,0
1,35,6,4,0,0,1,,2,S,0,S,22,0.772222,0.034659,0.026764,,0
1,36,4,7,0,0,1,,3,S,0,S,16,0.016566,0.780307,0.012926,,0
1,37,5,6,0,0,1,,1,S,0,S,15,0.02853,0.764755,0.021819,,0
1,38,3,9,0,0,1,,6,S,0,S,14,0.018618,0.771377,0.014361,,0
1,39,1,9,0,0,1,,8,L,0,S,14,0.008228,0.785722,0.006465,,0
1,40,5,7,0,0,1,,2,S,0,S,19,0.046935,0.750518,0.035226,,0
1,41,7,3,0,0,1,,4,S,0,S,17,0.778458,0.021074,0.016405,,0
1,42,1,4,0,0,1,,3,S,0,S,15,0.041648,0.750231,0.031246,,0
1,43,2,9,0,0,1,,7,L,0,S,15,0.034072,0.756691,0.025782,,0
1,44,9,1,0,0,1,,8,L,0,S,12,0.763372,0.013911,0.01062,,0
1,45,8,2,0,0,1,,6,S,0,S,14,0.77055,0.020105,0.015492,,0
1,46,3,2,0,0,1,,1,S,0,S,26,0.750161,0.052531,0.039407,,0
1,47,1,2,0,0,1,,1,S,0,S,23,0.026852,0.782331,0.021007,,S
1,48,8,1,0,0,1,,7,L,0,S,13,0.767651,0.016216,0.012448,,0
1,49,2,4,0,0,1,,2,S,0,S,20,0.021318,0.787212,0.016782,,0
1,50,5,3,0,0,1,,2,S,0,S,17,0.752621,0.0422,0.031761,,0
1,51,6,1,0,0,1,,5,S,0,S,14,0.776063,0.015535,0.012056,,0
1,52,5,8,0,0,1,,3,S,0,S,15,0.032802,0.757705,0.024854,,0
1,53,3,8,0,0,1,,5,S,0,S,13,0.020192,0.761654,0.015379,,0
1,54,7,4,0,0,1,,3,S,0,S,18,0.755241,0.044095,0.033302,,0
1,55,2,5,0,0,1,,3,S,0,S,20,0.032829,0.768946,0.025244,,0
1,56,2,3,0,0,0,,1,S,0,S,41,0.781849,0.025256,0.019746,,0
1,57,9,4,0,0,1,,5,S,0,S,14,0.775628,0.017893,0.013878,,0
1,58,1,7,0,0,1,,6,S,0,S,14,0.023824,0.764584,0.018216,,0
1,59,9,7,0,0,1,,2,S,0,S,15,0.75103,0.038228,0.028711,,0
1,60,7,2,0,0,1,,5,S,0,S,15,0.78711,0.011469,0.009027,,0
1,61,7,5,0,0,1,,2,S,0,S,18,0.750635,0.044646,0.033512,,0
1,62,4,6,0,0,1,,2,S,0,S,14,0.012146,0.778891,0.00946,,0
1,63,6,7,0,0,1,,1,S,0,S,18,0.030744,0.768887,0.023639,,0
1,64,4,2,0,0,1,,2,S,0,S,18,0.796147,0.010012,0.007971,,0
1,65,8,5,0,0,1,,3,S,0,S,17,0.795606,0.00709,0.005641,,0
1,66,9,2,0,0,1,,7,L,0,S,13,0.786141,0.004258,0.003348,,0
1,67,1,3,0,0,1,,2,S,0,S,17,0.010442,0.793053,0.008281,,0
1,68,1,6,0,0,1,,5,S,0,S,13,0.010398,0.776797,0.008077,,0
1,69,2,8,0,0,1,,6,S,0,S,14,0.019493,0.769432,0.014999,,0
1,70,1,5,0,0,1,,4,S,0,S,16,0.009719,0.791274,0.00769,,0
1,71,3,7,0,0,1,,4,S,0,S,15,0,0.799502,0,,0
