ANN,Total,Error/TO,Incl,%,%,%,Congruent,Incongruent,SCE,Response,Response,Response
,# Trials,# Trials,# Trials,Hits,Hits,Hits,,,I-C,Conflict,Conflict,Conflict
,,,,C,I,C-I,,,,Cong,Incong,I-C
,,,,,,,Mean,Mean,Mean,Mean,Mean,Mean
1,144,10,134,100,86.111111,13.888889,7.083333,9.951613,2.86828,0.175556,0.342535,0.166979
2,144,10,134,100,86.111111,13.888889,7.069444,10.129032,3.059588,0.174418,0.343451,0.169033
3,144,9,135,100,87.5,12.5,7,10.206349,3.206349,0.17207,0.34788,0.17581
4,144,7,137,100,90.277778,9.722222,6.930556,10.476923,3.546368,0.169166,0.35793,0.188765
5,144,9,135,100,87.5,12.5,7.083333,10.269841,3.186508,0.174733,0.347463,0.17273
6,144,9,135,100,87.5,12.5,7.041667,10.222222,3.180556,0.172886,0.351111,0.178224
7,144,9,135,100,87.5,12.5,6.986111,10.031746,3.045635,0.172819,0.346373,0.173554
8,144,11,133,100,84.722222,15.277778,7.097222,10.147541,3.050319,0.175595,0.346247,0.170652
9,144,9,135,100,87.5,12.5,7,10.095238,3.095238,0.173144,0.346111,0.172968
10,144,9,135,100,87.5,12.5,7.055556,10.063492,3.007937,0.175292,0.342992,0.1677
11,144,11,133,100,84.722222,15.277778,7.111111,10.065574,2.954463,0.176131,0.343363,0.167231
12,144,10,134,100,86.111111,13.888889,7.041667,10.177419,3.135753,0.174687,0.344592,0.169905
13,144,9,135,100,87.5,12.5,6.986111,10.047619,3.061508,0.172753,0.342558,0.169805
14,144,9,135,100,87.5,12.5,7.097222,10.111111,3.013889,0.177969,0.342811,0.164842
15,144,9,135,100,87.5,12.5,7.083333,10.190476,3.107143,0.175727,0.347072,0.171345
16,144,10,134,100,86.111111,13.888889,7.138889,10.16129,3.022401,0.176851,0.345113,0.168262
17,144,11,133,100,84.722222,15.277778,7.069444,10.163934,3.09449,0.175529,0.347486,0.171956
18,144,8,136,100,88.888889,11.111111,7,10.03125,3.03125,0.172663,0.340523,0.16786
19,144,9,135,100,87.5,12.5,7.111111,10.190476,3.079365,0.177267,0.346385,0.169118
20,144,9,135,100,87.5,12.5,7.097222,10.222222,3.125,0.175971,0.341637,0.165666
21,144,10,134,100,86.111111,13.888889,7.125,10.129032,3.004032,0.175967,0.345793,0.169826
22,144,11,133,100,84.722222,15.277778,7.097222,10.098361,3.001138,0.17586,0.343388,0.167528
23,144,9,135,100,87.5,12.5,7.013889,10.301587,3.287698,0.173385,0.352225,0.178841
24,144,9,135,100,87.5,12.5,7.055556,10.253968,3.198413,0.178162,0.347378,0.169216
25,144,9,135,100,87.5,12.5,7.125,10.142857,3.017857,0.175629,0.343188,0.167559
26,144,10,134,100,86.111111,13.888889,7.083333,10.112903,3.02957,0.174075,0.346345,0.172269
27,144,9,135,100,87.5,12.5,6.986111,10.349206,3.363095,0.174957,0.349599,0.174642
28,144,8,136,100,88.888889,11.111111,7.097222,10.03125,2.934028,0.175822,0.343999,0.168177
29,144,11,133,100,84.722222,15.277778,7,9.934426,2.934426,0.173378,0.339133,0.165755
30,144,9,135,100,87.5,12.5,7.083333,10,2.916667,0.173875,0.342486,0.16861
TOTALS:,4320,282,4038,100,86.944444,13.055556,7.058333,10.144302,3.085969,0.174745,0.345594,0.170849
