ANN,Total,Error/TO,Incl,%,%,%,Congruent,Incongruent,SCE,Response,Response,Response
,# Trials,# Trials,# Trials,Hits,Hits,Hits,,,I-C,Conflict,Conflict,Conflict
,,,,C,I,C-I,,,,Cong,Incong,I-C
,,,,,,,Mean,Mean,Mean,Mean,Mean,Mean
1,144,14,130,100,80.555556,19.444444,6.777778,8.62069,1.842912,0.172152,0.30301,0.130858
2,144,17,127,100,76.388889,23.611111,6.777778,8.509091,1.731313,0.171273,0.299619,0.128346
3,144,16,128,100,77.777778,22.222222,6.736111,8.535714,1.799603,0.16897,0.302442,0.133473
4,144,16,128,100,77.777778,22.222222,6.666667,8.625,1.958333,0.166372,0.308469,0.142097
5,144,18,126,100,75,25,6.805556,8.425926,1.62037,0.17186,0.296092,0.124233
6,144,13,131,100,81.944444,18.055556,6.722222,8.983051,2.260829,0.169463,0.315332,0.145869
7,144,12,132,100,83.333333,16.666667,6.708333,8.916667,2.208333,0.169369,0.313418,0.144049
8,144,16,128,100,77.777778,22.222222,6.777778,8.732143,1.954365,0.172021,0.306549,0.134527
9,144,13,131,100,81.944444,18.055556,6.736111,8.864407,2.128296,0.170007,0.308891,0.138884
10,144,16,128,100,77.777778,22.222222,6.777778,8.5,1.722222,0.172109,0.298152,0.126043
11,144,17,127,100,76.388889,23.611111,6.805556,8.527273,1.721717,0.172736,0.300101,0.127364
12,144,17,127,100,76.388889,23.611111,6.791667,8.6,1.808333,0.171894,0.299537,0.127643
13,144,15,129,100,79.166667,20.833333,6.694444,8.578947,1.884503,0.169149,0.299663,0.130514
14,144,14,130,100,80.555556,19.444444,6.819444,8.706897,1.887452,0.1748,0.30276,0.12796
15,144,16,128,100,77.777778,22.222222,6.763889,8.589286,1.825397,0.172033,0.303509,0.131476
16,144,16,128,100,77.777778,22.222222,6.805556,8.714286,1.90873,0.173189,0.302959,0.12977
17,144,17,127,100,76.388889,23.611111,6.763889,8.654545,1.890657,0.171837,0.305096,0.133259
18,144,15,129,100,79.166667,20.833333,6.666667,8.508772,1.842105,0.168743,0.296455,0.127711
19,144,16,128,100,77.777778,22.222222,6.777778,8.607143,1.829365,0.173794,0.30141,0.127616
20,144,16,128,100,77.777778,22.222222,6.819444,8.660714,1.84127,0.173183,0.297811,0.124628
21,144,15,129,100,79.166667,20.833333,6.777778,8.701754,1.923977,0.172119,0.303846,0.131727
22,144,16,128,100,77.777778,22.222222,6.791667,8.678571,1.886905,0.172469,0.301632,0.129163
23,144,17,127,100,76.388889,23.611111,6.708333,8.6,1.891667,0.16977,0.30313,0.13336
24,144,18,126,100,75,25,6.791667,8.444444,1.652778,0.174832,0.297936,0.123104
25,144,15,129,100,79.166667,20.833333,6.777778,8.701754,1.923977,0.171832,0.301382,0.12955
26,144,15,129,100,79.166667,20.833333,6.791667,8.77193,1.980263,0.171146,0.307695,0.136549
27,144,17,127,100,76.388889,23.611111,6.763889,8.6,1.836111,0.171907,0.302557,0.13065
28,144,12,132,100,83.333333,16.666667,6.75,8.783333,2.033333,0.172047,0.307242,0.135194
29,144,17,127,100,76.388889,23.611111,6.763889,8.363636,1.599747,0.170325,0.293207,0.122881
30,144,10,134,100,86.111111,13.888889,6.75,8.870968,2.120968,0.170203,0.310129,0.139926
TOTALS:,4320,462,3858,100,78.611111,21.388889,6.762037,8.649588,1.887551,0.171387,0.303114,0.131727
