ANN,trial,N1,N2,P1,P2,Succ.,Cong,Ndist,Ndist,Pdist,Pdist,rt,a1,a2,x_acc
1,1,9,1,9,2,1,C,8,L,7,L,7,0.894422,0.141109,0.126211
1,2,1,8,1,2,1,C,7,L,1,S,8,0.16057,0.932497,0.149731
1,3,8,2,1,9,1,I,6,S,8,L,15,0.85928,0.554769,0.476702
1,4,8,1,9,2,1,C,7,L,7,L,7,0.875893,0.151805,0.132965
1,5,2,8,9,2,1,I,6,S,7,L,14,0.528152,0.858465,0.4534
1,6,2,8,2,1,1,I,6,S,1,S,11,0.397737,0.859091,0.341692
1,7,9,2,2,1,1,C,7,L,1,S,8,0.890292,0.191226,0.170247
1,8,1,2,2,8,1,C,1,S,6,S,9,0.211103,0.914192,0.192988
1,9,9,2,9,2,1,C,7,L,7,L,7,0.859175,0.164236,0.141107
1,10,1,8,8,2,1,I,7,L,6,S,12,0.488501,0.856755,0.418525
1,11,9,2,9,8,1,C,7,L,1,S,9,0.914259,0.220643,0.201725
1,12,2,1,1,8,1,I,1,S,7,L,21,0.854627,0.5844,0.499444
1,13,8,9,8,9,1,C,1,S,1,S,14,0.313555,0.905911,0.284053
1,14,8,9,9,1,0,I,1,S,8,L,13,0.863276,0.399658,0.345015
1,15,8,2,2,9,1,I,6,S,7,L,14,0.860621,0.528065,0.454464
1,16,2,9,2,9,1,C,7,L,7,L,8,0.138129,0.967155,0.133592
1,17,2,9,2,8,1,C,7,L,6,S,8,0.141431,0.962249,0.136092
1,18,2,9,8,9,1,C,7,L,1,S,9,0.231966,0.894889,0.207584
1,19,2,9,9,8,1,I,7,L,1,S,10,0.273969,0.903638,0.247569
1,20,9,2,8,9,1,I,7,L,1,S,9,0.857376,0.281248,0.241136
1,21,2,8,9,1,1,I,6,S,8,L,15,0.548268,0.86186,0.47253
1,22,2,8,9,8,1,I,6,S,1,S,10,0.271149,0.906657,0.245839
1,23,9,8,8,9,1,I,1,S,1,S,22,0.859304,0.527678,0.453436
1,24,1,9,1,8,1,C,8,L,7,L,7,0.134023,0.90462,0.12124
1,25,2,9,1,9,1,C,7,L,8,L,7,0.160165,0.863109,0.138239
1,26,2,1,9,1,1,C,1,S,8,L,8,0.881556,0.19342,0.170511
1,27,1,2,8,9,1,C,1,S,1,S,11,0.28498,0.888038,0.253073
1,28,1,9,1,2,1,C,8,L,1,S,8,0.162504,0.930528,0.151215
1,29,1,8,2,8,1,C,7,L,6,S,7,0.153912,0.873036,0.134371
1,30,2,8,2,8,1,C,6,S,6,S,8,0.138653,0.965302,0.133842
1,31,8,9,9,8,1,I,1,S,1,S,23,0.523167,0.859127,0.449467
1,32,9,1,1,8,1,I,8,L,7,L,13,0.873983,0.514946,0.450054
1,33,1,8,8,1,1,I,7,L,7,L,13,0.517651,0.863776,0.447134
1,34,9,1,1,2,1,I,8,L,1,S,10,0.860541,0.376099,0.323648
1,35,1,2,8,1,1,I,1,S,7,L,24,0.583214,0.857982,0.500387
1,36,9,8,1,9,1,I,1,S,8,L,33,0.856645,0.585217,0.501324
1,37,1,9,9,8,1,I,8,L,1,S,9,0.256482,0.882951,0.226461
1,38,2,9,8,2,1,I,7,L,6,S,14,0.524733,0.861602,0.452111
1,39,1,9,2,1,1,I,8,L,1,S,10,0.359617,0.861464,0.309797
1,40,9,2,1,8,1,I,7,L,7,L,14,0.864177,0.538547,0.465401
1,41,2,8,1,2,1,C,6,S,1,S,8,0.190512,0.885996,0.168793
1,42,1,9,9,2,1,I,8,L,7,L,13,0.49912,0.87638,0.437419
1,43,8,2,1,8,1,I,6,S,7,L,15,0.861389,0.551925,0.475422
1,44,1,8,2,1,1,I,7,L,1,S,10,0.357725,0.863325,0.308833
1,45,8,9,8,1,0,I,1,S,7,L,13,0.859143,0.403623,0.34677
1,46,2,1,9,8,1,C,1,S,1,S,11,0.931262,0.252608,0.235244
1,47,2,9,2,1,1,I,7,L,1,S,11,0.400487,0.856212,0.342902
