ANN,Total,Error/TO,Incl,%,%,%,Congruent,Incongruent,SCE,Response,Response,Response
,# Trials,# Trials,# Trials,Hits,Hits,Hits,,,I-C,Conflict,Conflict,Conflict
,,,,C,I,C-I,,,,Cong,Incong,I-C
,,,,,,,Mean,Mean,Mean,Mean,Mean,Mean
1,144,8,136,100,88.888889,11.111111,7.986111,12.6875,4.701389,0.17629,0.393399,0.217109
2,144,4,140,100,94.444444,5.555556,8,13.5,5.5,0.175001,0.400334,0.225333
3,144,4,140,100,94.444444,5.555556,7.958333,13.397059,5.438725,0.172358,0.401196,0.228838
4,144,4,140,100,94.444444,5.555556,7.875,13.514706,5.639706,0.168786,0.410778,0.241992
5,144,7,137,100,90.277778,9.722222,8,13.076923,5.076923,0.175625,0.396088,0.220463
6,144,5,139,100,93.055556,6.944444,7.930556,13.522388,5.591833,0.173304,0.407231,0.233927
7,144,4,140,100,94.444444,5.555556,7.944444,13.485294,5.54085,0.173109,0.404932,0.231823
8,144,4,140,100,94.444444,5.555556,8.055556,13.75,5.694444,0.176221,0.404838,0.228617
9,144,5,139,100,93.055556,6.944444,7.986111,13.298507,5.312396,0.173402,0.400643,0.227242
10,144,6,138,100,91.666667,8.333333,8.041667,13.090909,5.049242,0.176049,0.394768,0.21872
11,144,8,136,100,88.888889,11.111111,8.083333,13.078125,4.994792,0.176674,0.397773,0.221099
12,144,8,136,100,88.888889,11.111111,8.027778,13.125,5.097222,0.176334,0.396885,0.22055
13,144,4,140,100,94.444444,5.555556,7.916667,13.235294,5.318627,0.173029,0.398579,0.22555
14,144,8,136,100,88.888889,11.111111,8.055556,12.734375,4.678819,0.179834,0.391046,0.211212
15,144,3,141,100,95.833333,4.166667,8.013889,13.695652,5.681763,0.175823,0.404177,0.228354
16,144,8,136,100,88.888889,11.111111,8.069444,13.109375,5.039931,0.178285,0.39565,0.217365
17,144,7,137,100,90.277778,9.722222,8.055556,13.246154,5.190598,0.175948,0.400868,0.22492
18,144,0,144,100,100,0,7.930556,13.708333,5.777778,0.17254,0.400869,0.228329
19,144,4,140,100,94.444444,5.555556,8.027778,13.544118,5.51634,0.178316,0.402048,0.223731
20,144,4,140,100,94.444444,5.555556,8.069444,13.617647,5.548203,0.176946,0.396649,0.219703
21,144,8,136,100,88.888889,11.111111,8.069444,13,4.930556,0.177107,0.39596,0.218853
22,144,8,136,100,88.888889,11.111111,8.083333,13.046875,4.963542,0.176556,0.396797,0.220241
23,144,4,140,100,94.444444,5.555556,7.972222,13.705882,5.73366,0.173457,0.408795,0.235339
24,144,6,138,100,91.666667,8.333333,8.055556,13.348485,5.292929,0.179916,0.398967,0.21905
25,144,4,140,100,94.444444,5.555556,8.097222,13.5,5.402778,0.176102,0.397828,0.221726
26,144,8,136,100,88.888889,11.111111,8.027778,13.046875,5.019097,0.175026,0.397195,0.222169
27,144,8,136,100,88.888889,11.111111,7.986111,12.9375,4.951389,0.176032,0.397938,0.221907
28,144,1,143,100,98.611111,1.388889,7.972222,13.690141,5.717919,0.176327,0.40246,0.226133
29,144,8,136,100,88.888889,11.111111,8.069444,12.875,4.805556,0.173907,0.390382,0.216475
30,144,6,138,100,91.666667,8.333333,8.013889,12.893939,4.880051,0.173989,0.39334,0.219351
TOTALS:,4320,166,4154,100,92.314815,7.685185,8.0125,13.290873,5.278373,0.17541,0.399379,0.223969
